anio,mes,pp,tmax,tmin
1975,01,138.5,19.2,7.2
1975,02,195.2,18.4,7.1
1975,03,74.8,19.0,6.5
1975,04,18.0,20.0,4.4
1975,05,7.3,17.9,2.5
1975,06,2.4,16.2,1.3
1975,07,0.0,16.2,-0.6
1975,08,3.0,17.8,0.3
1975,09,30.1,18.2,2.7
1975,10,45.1,19.3,3.4
1975,11,41.9,21.1,4.0
1975,12,85.6,19.9,6.2
1976,01,123.4,17.8,6.8
1976,02,53.0,19.8,7.0
1976,03,31.2,20.2,6.7
1976,04,0.8,19.8,4.5
1976,05,0.1,17.4,1.9
1976,06,0.0,13.0,-0.8
1976,07,0.0,13.7,0.4
1976,08,12.4,14.2,1.1
1976,09,37.0,17.7,3.0
1976,10,10.1,21.4,3.9
1976,11,13.7,21.9,4.7
1976,12,64.2,21.3,6.1
1977,01,34.9,24.3,5.7
1977,02,115.0,24.3,5.5
1977,03,90.9,21.3,4.2
1977,04,11.0,18.8,3.8
1977,05,0.0,16.3,1.6
1977,06,0.0,19.4,-0.5
1977,07,0.0,18.1,0.6
1977,08,8.6,16.4,0.3
1977,09,16.0,18.7,2.7
1977,10,36.8,21.1,4.6
1977,11,63.5,23.4,4.9
1977,12,109.4,20.1,5.6
1978,01,140.0,16.5,7.7
1978,02,106.5,18.5,7.9
1978,03,28.8,19.1,8.0
1978,04,49.6,19.3,7.2
1978,05,0.0,20.7,4.3
1978,06,0.0,15.5,-1.0
1978,07,6.1,15.6,-1.5
1978,08,22.5,17.5,2.1
1978,09,4.4,18.3,2.1
1978,10,21.7,22.0,3.5
1978,11,29.0,20.2,5.8
1978,12,153.1,24.0,5.1
1979,01,134.8,23.4,4.8
1979,02,58.9,23.2,5.3
1979,03,60.5,21.3,5.1
1979,04,15.1,19.0,2.6
1979,05,0.0,15.7,0.1
1979,06,0.0,15.8,-0.5
1979,07,0.0,12.9,-0.7
1979,08,0.0,16.2,0.3
1979,09,2.0,19.3,2.1
1979,10,35.1,20.1,5.3
1979,11,34.2,21.4,7.1
1979,12,80.5,21.1,5.4
1980,01,21.5,20.2,5.4
1980,02,47.5,20.7,5.7
1980,03,70.9,18.3,5.7
1980,04,0.0,17.8,3.5
1980,05,2.8,16.5,-0.4
1980,06,0.0,15.7,-0.8
1980,07,4.9,15.2,0.5
1980,08,31.5,17.4,0.5
1980,09,8.8,16.2,1.8
1980,10,43.0,19.3,3.2
1980,11,26.9,21.2,4.1
1980,12,25.1,19.8,4.0
1981,01,145.6,17.4,4.2
1981,02,87.6,16.1,4.2
1981,03,32.1,17.0,3.8
1981,04,15.9,15.9,1.8
1981,05,3.1,17.4,-0.3
1981,06,0.0,14.5,-2.0
1981,07,0.0,16.1,-1.9
1981,08,23.6,16.3,0.7
1981,09,22.9,16.9,1.0
1981,10,19.0,19.1,3.2
1981,11,32.7,19.9,4.6
1981,12,53.1,20.8,4.8
1982,01,115.7,17.6,4.5
1982,02,55.7,18.9,4.3
1982,03,86.0,16.9,3.9
1982,04,30.6,17.5,2.5
1982,05,0.0,16.1,-0.8
1982,06,0.0,14.2,-1.1
1982,07,0.0,15.8,-1.1
1982,08,0.0,18.5,0.6
1982,09,7.0,18.5,2.1
1982,10,133.4,19.8,4.1
1982,11,31.0,20.3,5.0
1982,12,38.0,19.3,5.2
1983,01,23.2,20.0,6.3
1983,02,55.2,20.4,7.6
1983,03,2.3,22.6,8.4
1983,04,0.0,22.3,7.8
1983,05,0.6,21.0,4.2
1983,06,0.0,18.0,1.1
1983,07,0.0,18.5,1.7
1983,08,11.3,20.3,2.6
1983,09,18.3,21.2,4.0
1983,10,10.4,23.1,5.4
1983,11,9.5,22.9,7.1
1983,12,52.8,20.7,8.8
1984,01,216.1,14.9,7.4
1984,02,224.0,15.2,7.4
1984,03,152.5,18.1,8.0
1984,04,23.3,18.0,8.2
1984,05,0.0,14.7,6.0
1984,06,0.0,15.7,2.9
1984,07,0.0,15.7,1.0
1984,08,6.4,17.2,2.0
1984,09,2.1,19.8,3.1
1984,10,56.2,20.5,6.2
1984,11,36.5,19.7,6.4
1984,12,56.7,20.2,6.4
1985,01,44.9,18.8,6.6
1985,02,145.9,15.5,6.6
1985,03,45.7,19.5,5.8
1985,04,41.9,18.4,4.4
1985,05,0.0,20.0,3.0
1985,06,0.0,15.4,1.1
1985,07,0.0,17.7,0.5
1985,08,9.2,18.3,2.5
1985,09,7.0,19.6,5.2
1985,10,17.0,22.0,5.1
1985,11,164.5,17.4,5.8
1985,12,140.1,16.5,6.0
1986,01,63.0,19.3,6.7
1986,02,102.3,19.1,6.5
1986,03,117.8,18.0,5.6
1986,04,9.7,21.1,5.2
1986,05,0.0,19.3,2.3
1986,06,0.0,18.2,0.7
1986,07,0.0,13.8,-0.3
1986,08,0.0,17.5,2.3
1986,09,1.7,20.7,3.8
1986,10,21.2,22.4,4.9
1986,11,34.2,22.0,5.6
1986,12,109.8,19.5,6.0
1987,01,148.3,17.6,6.3
1987,02,15.1,20.2,5.6
1987,03,17.5,20.4,5.6
1987,04,1.4,21.1,5.0
1987,05,0.0,19.6,3.2
1987,06,6.2,18.8,0.6
1987,07,4.6,18.2,0.6
1987,08,0.0,19.6,2.3
1987,09,1.7,20.8,3.9
1987,10,0.9,22.5,4.9
1987,11,3.9,21.9,5.6
1987,12,62.2,20.2,6.1
1988,01,80.3,18.5,6.3
1988,02,45.8,19.0,6.9
1988,03,120.4,17.8,6.0
1988,04,26.2,20.3,5.7
1988,05,0.0,19.4,3.9
1988,06,0.0,17.2,0.4
1988,07,0.0,18.8,0.8
1988,08,0.0,22.7,2.7
1988,09,6.5,21.8,3.9
1988,10,9.3,22.6,5.0
1988,11,10.2,21.6,5.6
1988,12,61.1,20.6,6.4
1989,01,95.3,18.4,6.3
1989,02,44.4,18.0,6.6
1989,03,65.3,19.8,6.1
1989,04,59.7,17.7,5.1
1989,05,0.0,19.8,3.1
1989,06,0.0,17.6,1.4
1989,07,0.0,16.9,0.5
1989,08,0.0,19.4,2.1
1989,09,2.6,20.2,4.0
1989,10,1.5,21.1,5.6
1989,11,16.4,20.6,6.0
1989,12,18.4,19.2,6.9
1990,01,98.2,18.9,6.3
1990,02,35.9,18.1,6.0
1990,03,11.5,19.9,5.9
1990,04,30.8,21.1,4.7
1990,05,2.6,19.4,3.1
1990,06,10.3,16.6,1.1
1990,07,0.0,17.3,0.0
1990,08,16.4,19.0,3.1
1990,09,0.0,20.3,3.8
1990,10,49.4,19.8,6.0
1990,11,64.4,20.0,7.3
1990,12,45.3,19.5,7.6
1991,01,67.4,18.6,6.8
1991,02,67.3,20.5,6.3
1991,03,47.9,18.3,6.4
1991,04,16.3,19.7,5.5
1991,05,0.0,20.7,3.0
1991,06,0.0,16.8,0.3
1991,07,0.0,17.6,0.5
1991,08,2.1,19.5,3.5
1991,09,0.0,19.2,4.4
1991,10,29.9,20.1,6.0
1991,11,41.6,19.7,6.9
1991,12,61.5,20.2,7.4
1992,01,151.1,15.5,6.9
1992,02,72.6,17.3,6.6
1992,03,44.4,16.9,5.5
1992,04,16.8,18.5,4.5
1992,05,0.0,18.9,3.2
1992,06,5.1,15.4,1.6
1992,07,4.0,14.5,1.0
1992,08,8.1,15.5,2.7
1992,09,0.0,18.2,3.5
1992,10,32.4,19.7,6.0
1992,11,54.7,19.1,6.0
1992,12,94.9,19.1,7.2
1993,01,94.6,15.8,6.9
1993,02,31.9,19.5,5.3
1993,03,38.0,14.3,5.8
1993,04,6.1,19.2,5.5
1993,05,3.2,16.9,2.7
1993,06,0.0,15.7,0.7
1993,07,0.0,13.0,1.0
1993,08,0.9,15.1,2.7
1993,09,0.0,17.4,3.1
1993,10,9.0,19.1,5.6
1993,11,21.2,20.0,6.6
1993,12,41.9,18.9,7.2
1994,01,47.6,17.6,6.7
1994,02,47.1,17.3,6.6
1994,03,17.9,18.5,4.5
1994,04,2.9,20.3,4.5
1994,05,0.0,19.4,2.0
1994,06,0.0,17.6,-1.2
1994,07,0.0,17.7,-0.2
1994,08,0.0,19.4,2.2
1994,09,1.4,20.6,2.9
1994,10,7.5,19.9,5.0
1994,11,51.6,19.6,6.5
1994,12,28.2,19.5,7.3
1995,01,60.0,18.4,6.5
1995,02,30.0,18.9,5.7
1995,03,40.5,18.2,5.4
1995,04,0.0,19.4,3.3
1995,05,0.9,18.2,1.4
1995,06,0.0,16.5,-0.9
1995,07,0.0,17.0,-0.7
1995,08,1.0,19.0,1.8
1995,09,0.4,19.6,3.6
1995,10,0.6,20.5,3.4
1995,11,18.5,20.3,5.6
1995,12,58.5,18.1,5.9
