Date,4101,4012,4001,4302,4102,4303,4103,4104,4090,4106,4005,4306,4019,4309,4028,4023,4311,4103-2,4309-2
1978-04-01,25.1,8.1,0,19,23.4,10.3,19.8,11.8,3.7,89,14.9,14.3,4,49.6,9,0,7.4,46.4,81.1
1978-05-01,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0
1978-06-01,0,0,0,0,0,0,0,0,0,16.6,0,0,0,0,0,0,0,0,0
1978-07-01,14.2,0,0,1.1,0,0,0,1.2,0,10.4,0.2,0.6,0,6.1,0,0,0,0,10
1978-08-01,11.9,19.5,0.2,5.5,23.1,0,1.8,4,0.1,39,0.6,10.1,0,22.5,0,0,0,4.2,36.7
1978-09-01,1.5,4.5,0,1.6,14.2,3.2,0,0.1,0.8,59.7,0.3,3,0,4.4,0,0,0,0,7.2
1978-10-01,4,7,0.4,9.2,5.5,20.1,6.6,6,14.7,53,4.5,11,5,21.7,11.5,28,1.5,15.5,35.5
1978-11-01,44.1,28.9,15.7,30.5,71.8,23.6,36.1,39.9,32.8,64,37.2,35.6,44,29,17,32,12.6,84.4,47.4
1978-12-01,144.7,71,6.2,156.6,82.2,114.8,59.4,190,70.1,113.1,108.1,151.2,39,153.1,42.5,98.6,93.4,139,250.1
1979-01-01,188.7,171.4,259,140.7,197.8,291.2,111.8,156.6,328.2,186.5,178.8,131.9,249,134.8,133.6,299.5,64.1,261.5,220.3
1979-02-01,31.8,45.2,6,25.5,64,41.8,26.1,59.4,11,104.6,17.5,39.9,0,58.9,13.4,20,4,61.1,96.3
1979-03-01,104.5,88.1,67,41.9,75.5,77.9,52.1,96.7,62.3,135.4,39.4,79.2,54,60.5,38,22,8.5,122,98.8
1979-04-01,6.2,35.9,0,8.1,31.9,16.1,4.9,2.4,15,107.6,0.1,20,0,15.1,0,0,0,11.5,24.6
1979-05-01,2.9,0,0,0,0,0,0.7,0.8,0,60,0,0,0,0,0,0,0,1.8,0
1979-06-01,0,0,0,0,1.5,0,0.2,0.1,0,28.2,0,0,0,0,0,0,0,0.4,0
1979-07-01,6.3,12.5,0,0,18.4,0,3.4,1.2,0,45,0,0,0,0,0.2,0,0,7.9,0
1979-08-01,0,0,0,0,0.9,0,0.1,0,0,70.5,0,0,0,0,0,0,0,0.2,0
1979-09-01,3.9,5.1,0,0.7,12.1,0,2.4,0,0,51.9,2.6,1.8,0,2,0,0,0,5.6,3.2
1979-10-01,22.8,19.2,0,11.2,46.2,22.2,13.2,17.1,6.5,102.9,5.7,16.8,0,35.1,1,0,0,31,57.4
1979-11-01,22.4,40.1,0,13.1,21.8,26.4,10.1,2,19.9,92.7,21.3,24.5,0,34.2,0,15,0,23.7,55.9
1979-12-01,145.7,102,39,53.2,122.4,95.3,71,82.9,90.4,184.8,98.7,78.8,77,80.5,70.2,228,15.2,166.2,131.5
1980-01-01,51.8,28.1,1.2,25.3,48.8,76.4,30.9,48.2,16.6,81.5,45.1,41.7,0,21.5,10,0,5.5,72.3,35.2
1980-02-01,28.9,51.6,1,23.6,40.5,54.4,21.5,23.6,15.1,68.8,12.5,37.5,20,47.5,18.4,17,3,50.2,77.6
1980-03-01,111.6,45.6,1,47.9,91.4,51.2,72.5,59.1,86.9,107.1,104.5,50.4,85,70.9,68,83,22.1,169.7,115.8
1980-04-01,9.7,14.7,0,0.1,13.1,0.9,0,0,6.1,66.7,0,0,0,0,0,0,0,0,0
1980-05-01,2.3,3.4,0,0.4,0,0,3.5,6.2,1,37.2,0,0,0,2.8,0,0,0,8.3,4.5
1980-06-01,0,0,0,0,1.4,0,0,0.1,0,24,0,0,0,0,0,0,0,0,0
1980-07-01,14.3,10,0,1.7,15.1,5.3,19.7,3.6,9.2,40.4,3.5,2,0,4.9,3.5,0,0,46.2,8
1980-08-01,6.7,10.5,0,10.4,18.2,20.9,7.9,1.3,15.1,37.4,0,16.5,0,31.5,0,3,0,18.6,51.4
1980-09-01,27.3,63,0.2,3.9,86.4,14.7,11,9.5,3.2,54.6,0.1,4.9,0,8.8,0,10,0,25.7,14.3
1980-10-01,47,33.3,0.2,18,13.9,62.4,15.3,14.8,45.8,47.2,20.9,23,25,43,15,0,0,35.8,70.3
1980-11-01,9.4,3.1,0.2,9.3,22.9,6.4,25.5,14.7,2,42.7,1.8,22,6,26.9,0,6,0,59.7,44
1980-12-01,56.4,9.6,0,14.9,56.6,54.7,54.9,28.1,7.6,63.1,6.2,25.3,0,25.1,5.6,20,0,128.5,41
1981-01-01,101.3,124.3,26.2,117.4,123.9,125,87.4,55,73.3,113.2,92.5,117.1,78,145.6,105.9,130,60,204.6,238
1981-02-01,132.6,139,68.3,82.3,112.8,112.2,69.4,65.2,105.1,153.9,136.9,73,93,87.6,180.2,97.4,43.5,162.3,143.1
1981-03-01,69.9,59.7,1.4,45.2,55.9,52.3,70.8,39.8,57.8,76.2,44.4,58.9,27,32.1,7.7,60,23.6,165.6,52.5
1981-04-01,25.7,3.6,0,12,16.1,18.8,0,40.5,19.1,61.7,0,16.7,14,15.9,28.8,0,4.3,0,26
1981-05-01,0,0,0,0.5,7.6,0,0,0,0,20.2,0,0,0,3.1,0,6,0,0,5
1981-06-01,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0
1981-07-01,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0
