anio,mes,pp,tmax,tmin
1975,01,139.0,16.8,6.2
1975,02,202.5,15.9,6.5
1975,03,69.0,17.0,5.4
1975,04,26.0,18.4,2.1
1975,05,7.0,15.3,-1.0
1975,06,5.1,12.9,-2.7
1975,07,0.0,12.8,-6.0
1975,08,0.0,15.5,-4.2
1975,09,25.0,16.1,-0.3
1975,10,40.0,17.5,0.9
1975,11,10.9,20.3,1.7
1975,12,60.0,17.8,5.1
1976,01,133.0,13.9,6.3
1976,02,64.0,16.6,6.1
1976,03,38.0,17.5,6.3
1976,04,0.0,17.2,3.4
1976,05,0.0,13.5,-1.4
1976,06,0.0,11.5,-3.9
1976,07,8.0,11.9,-3.0
1976,08,21.5,10.6,-2.5
1976,09,36.5,13.0,1.0
1976,10,0.0,20.2,1.5
1976,11,0.0,20.8,2.6
1976,12,93.2,21.0,5.4
1977,01,86.2,19.5,5.8
1977,02,102.2,19.6,6.2
1977,03,85.5,16.6,5.7
1977,04,0.0,18.7,3.2
1977,05,17.7,15.0,1.7
1977,06,0.0,11.0,-3.9
1977,07,0.0,12.5,-3.3
1977,08,0.0,13.5,-0.9
1977,09,7.5,16.3,2.0
1977,10,29.0,19.2,4.6
1977,11,68.7,20.2,5.7
1977,12,111.6,18.1,5.5
1978,01,116.0,14.4,6.7
1978,02,61.4,16.0,6.4
1978,03,36.2,16.5,6.0
1978,04,3.7,16.6,4.1
1978,05,0.0,16.5,-0.9
1978,06,0.0,12.5,-5.5
1978,07,0.0,12.2,-6.6
1978,08,0.1,14.3,-1.8
1978,09,0.8,15.7,-1.9
1978,10,14.7,19.1,1.2
1978,11,32.8,18.5,4.4
1978,12,70.1,19.6,4.5
1979,01,328.2,14.8,5.6
1979,02,11.0,17.7,6.4
1979,03,62.3,19.6,6.6
1979,04,15.0,19.3,3.4
1979,05,0.0,15.9,-1.2
1979,06,0.0,13.9,0.3
1979,07,0.0,11.9,1.8
1979,08,0.0,12.5,-3.2
1979,09,0.0,16.6,0.0
1979,10,6.5,18.4,4.7
1979,11,19.9,21.8,5.6
1979,12,90.4,19.6,6.0
1980,01,16.6,19.6,6.0
1980,02,15.1,21.2,5.8
1980,03,86.9,17.4,6.9
1980,04,6.1,17.2,2.4
1980,05,1.0,14.2,-1.6
1980,06,0.0,13.9,2.1
1980,07,9.2,12.9,0.2
1980,08,15.1,14.1,0.2
1980,09,3.2,14.5,1.0
1980,10,45.8,19.2,4.9
1980,11,2.0,21.8,4.5
1980,12,7.6,21.8,5.8
1981,01,73.3,19.6,7.2
1981,02,105.1,16.6,6.6
1981,03,57.8,17.2,5.8
1981,04,19.1,15.7,2.8
1981,05,0.0,14.4,-0.4
1981,06,0.0,10.0,-3.9
1981,07,0.0,10.9,-4.2
1981,08,25.4,13.2,-0.3
1981,09,51.3,13.2,1.0
1981,10,2.9,19.2,3.2
1981,11,28.4,21.5,5.0
1981,12,63.3,21.2,6.6
1982,01,57.9,17.7,6.6
1982,02,38.9,20.5,6.4
1982,03,78.9,18.3,6.2
1982,04,2.2,16.9,3.8
1982,05,1.3,12.7,-2.3
1982,06,0.0,10.3,-3.5
1982,07,0.0,11.6,-3.4
1982,08,1.0,14.5,-0.8
1982,09,29.0,15.3,1.6
1982,10,5.3,19.6,4.4
1982,11,48.2,22.1,6.2
1982,12,40.5,21.3,6.2
1983,01,30.5,23.3,6.8
1983,02,43.3,21.6,6.2
1983,03,22.2,24.5,6.3
1983,04,1.5,21.6,4.5
1983,05,0.0,15.7,-0.5
1983,06,0.0,11.9,-3.7
1983,07,2.5,14.7,-2.6
1983,08,22.0,15.7,-0.5
1983,09,21.5,17.5,2.2
1983,10,20.5,20.1,3.1
1983,11,9.0,21.5,2.5
1983,12,39.3,20.5,5.2
1984,01,207.6,13.8,4.9
1984,02,139.9,14.1,6.3
1984,03,105.6,15.0,6.4
1984,04,15.0,16.8,4.4
1984,05,0.0,14.7,1.0
1984,06,1.0,11.8,-0.8
1984,07,0.0,11.0,-2.1
1984,08,26.0,11.3,-0.7
1984,09,4.0,13.9,0.4
1984,10,51.0,18.9,5.4
1984,11,73.1,17.5,5.5
1984,12,58.2,19.6,5.7
1985,01,84.2,17.1,5.7
1985,02,123.2,15.9,6.1
1985,03,36.7,18.6,5.8
1985,04,51.4,16.6,4.6
1985,05,0.0,15.0,1.5
1985,06,1.9,12.6,-2.5
1985,07,0.0,11.5,-3.3
1985,08,0.0,16.0,-0.3
1985,09,21.1,16.2,1.7
1985,10,10.6,19.9,2.1
1985,11,94.0,15.6,4.6
1985,12,118.1,16.1,5.6
1986,01,69.7,18.8,6.2
1986,02,70.2,17.8,5.5
1986,03,60.4,15.8,4.6
1986,04,17.7,18.9,2.8
1986,05,0.9,15.9,-1.4
1986,06,0.3,14.7,-4.4
1986,07,0.0,11.3,-5.7
1986,08,2.8,14.6,-2.0
1986,09,9.0,17.2,0.6
1986,10,15.6,19.0,2.1
1986,11,40.7,19.5,3.9
1986,12,86.9,16.0,4.9
1987,01,159.3,15.1,5.8
1987,02,111.4,18.1,2.1
1987,03,56.5,16.6,2.1
1987,04,0.0,16.7,0.3
1987,05,0.0,14.0,-1.4
1987,06,8.5,11.8,-2.8
1987,07,7.5,13.5,-3.5
1987,08,20.0,13.9,-3.4
1987,09,0.0,16.4,-0.6
1987,10,36.0,16.9,1.6
1987,11,40.7,20.0,5.8
1987,12,38.1,20.1,4.0
1988,01,64.9,17.7,5.5
1988,02,61.9,18.0,5.1
1988,03,110.6,16.0,5.3
1988,04,25.1,17.4,3.1
1988,05,19.8,14.0,-0.3
1988,06,7.4,12.5,-4.2
1988,07,0.0,13.2,-3.2
1988,08,0.0,15.8,-2.7
1988,09,32.2,15.8,0.3
1988,10,14.1,16.9,0.5
1988,11,0.0,18.1,2.1
1988,12,94.7,19.1,4.9
1989,01,48.2,17.5,5.5
1989,02,47.3,17.4,4.7
1989,03,65.0,17.2,4.2
1989,04,41.7,16.4,1.6
1989,05,0.0,14.7,-4.3
1989,06,1.5,12.8,-4.2
1989,07,0.0,13.1,-4.6
1989,08,0.0,14.1,-3.5
1989,09,0.0,16.1,-2.2
1989,10,8.1,19.1,2.3
1989,11,25.3,17.5,1.6
1989,12,9.6,18.9,5.1
1990,01,122.9,17.5,6.0
1990,02,18.1,16.6,4.5
1990,03,55.6,17.6,2.6
1990,04,3.3,17.2,2.0
1990,05,4.5,14.4,-2.0
1990,06,34.3,14.2,-2.9
1990,07,0.0,14.9,-5.8
1990,08,0.0,14.1,-3.4
1990,09,0.0,15.8,-2.7
1990,10,49.7,18.4,2.3
1990,11,86.6,19.3,5.8
1990,12,110.1,19.0,5.7
1991,01,106.2,17.7,5.8
1991,02,36.5,18.8,4.8
1991,03,49.9,18.2,4.8
1991,04,16.7,17.5,1.9
