anio,mes,pp,tmax,tmin
1975,01,96.4,17.2,5.9
1975,02,132.8,16.0,6.0
1975,03,50.5,17.1,4.7
1975,04,12.2,18.8,0.9
1975,05,5.1,15.4,-2.4
1975,06,3.5,12.7,-4.5
1975,07,0.0,12.6,-8.1
1975,08,4.7,15.4,-6.4
1975,09,6.6,16.0,-1.9
1975,10,20.9,17.7,-0.6
1975,11,8.9,20.7,0.3
1975,12,252.4,18.4,4.3
1976,01,4.0,15.2,5.3
1976,02,61.5,18.4,5.6
1976,03,31.5,19.0,5.0
1976,04,0.0,18.6,0.8
1976,05,0.0,14.7,-3.7
1976,06,0.0,12.0,-7.1
1976,07,0.4,12.0,-5.7
1976,08,1.1,11.6,-4.1
1976,09,26.0,13.7,-0.6
1976,10,0.0,20.2,-1.0
1976,11,0.0,20.7,0.7
1976,12,24.0,20.8,3.9
1977,01,48.0,21.2,4.3
1977,02,106.0,20.5,5.3
1977,03,102.0,18.2,4.5
1977,04,0.0,18.7,0.9
1977,05,2.5,14.6,-2.3
1977,06,0.0,12.8,-7.3
1977,07,0.0,13.1,-6.3
1977,08,0.0,13.9,-4.9
1977,09,0.0,16.7,-0.8
1977,10,0.0,19.6,1.9
1977,11,20.0,20.9,4.0
1977,12,89.0,18.1,4.3
1978,01,110.0,14.4,6.1
1978,02,52.0,16.1,5.7
1978,03,35.0,16.6,4.9
1978,04,4.0,16.8,2.7
1978,05,0.0,16.3,-3.0
1978,06,0.0,12.4,-7.6
1978,07,0.0,12.0,-8.9
1978,08,0.0,14.3,-3.8
1978,09,0.0,15.9,-3.9
1978,10,5.0,19.5,0.0
1978,11,44.0,19.2,3.6
1978,12,39.0,19.7,3.9
1979,01,249.0,16.7,4.3
1979,02,0.0,19.4,4.6
1979,03,54.0,19.4,4.5
1979,04,0.0,18.0,0.4
1979,05,0.0,14.6,-4.8
1979,06,0.0,13.5,-4.2
1979,07,0.0,11.1,-3.6
1979,08,0.0,13.5,-5.7
1979,09,0.0,17.2,-2.2
1979,10,0.0,19.0,3.0
1979,11,0.0,21.7,4.2
1979,12,77.0,19.4,4.3
1980,01,0.0,19.9,3.9
1980,02,20.0,20.5,3.9
1980,03,85.0,17.6,4.7
1980,04,0.0,17.4,-0.3
1980,05,0.0,14.5,-5.5
1980,06,0.0,13.6,-4.6
1980,07,0.0,12.5,-3.7
1980,08,0.0,14.7,-4.0
1980,09,0.0,14.7,-1.5
1980,10,25.0,19.0,2.3
1980,11,6.0,21.8,1.8
1980,12,0.0,21.2,2.7
1981,01,78.0,18.8,4.9
1981,02,93.0,16.3,4.5
1981,03,27.0,17.1,3.2
1981,04,14.0,15.3,-0.5
1981,05,0.0,14.5,-4.7
1981,06,0.0,10.4,-8.1
1981,07,0.0,11.4,-8.8
1981,08,9.0,12.9,-3.9
1981,09,9.0,13.4,-2.2
1981,10,0.0,18.6,0.5
1981,11,7.2,20.9,2.5
1981,12,59.0,20.9,4.4
1982,01,112.0,16.8,4.5
1982,02,41.0,19.5,3.8
1982,03,38.0,17.0,3.5
1982,04,17.0,16.2,0.5
1982,05,0.0,12.3,-5.7
1982,06,0.0,9.9,-7.2
1982,07,0.0,11.6,-7.2
1982,08,0.0,15.0,-3.7
1982,09,0.0,15.9,-0.7
1982,10,25.0,19.6,2.6
1982,11,8.0,21.9,4.6
1982,12,9.0,21.1,4.9
1983,01,14.0,22.8,5.9
1983,02,9.0,21.6,6.0
1983,03,0.0,24.6,5.8
1983,04,5.0,22.1,3.7
1983,05,0.0,17.0,-1.8
1983,06,0.0,13.5,-5.2
1983,07,0.0,15.3,-4.7
1983,08,0.0,16.9,-2.6
1983,09,10.0,17.9,0.2
1983,10,0.0,20.9,1.5
1983,11,0.0,21.9,1.6
1983,12,23.0,21.3,5.0
1984,01,284.0,13.8,5.3
1984,02,206.0,14.1,6.0
1984,03,79.0,16.0,6.3
1984,04,0.0,16.9,3.6
1984,05,0.0,14.5,-0.5
1984,06,3.0,12.1,-2.7
1984,07,0.0,11.7,-4.9
1984,08,7.4,12.4,-3.1
1984,09,0.0,15.7,-2.2
1984,10,24.0,19.6,4.2
1984,11,40.0,18.4,5.0
1984,12,14.7,19.2,4.8
1985,01,71.8,17.3,5.5
1985,02,89.2,15.2,5.5
1985,03,34.8,18.5,4.6
1985,04,28.5,16.9,2.5
1985,05,0.7,16.2,-1.1
1985,06,1.6,12.7,-4.2
1985,07,0.0,12.6,-6.1
1985,08,1.4,16.2,-3.0
1985,09,14.0,16.5,0.1
1985,10,2.5,20.5,0.6
1985,11,65.1,16.2,4.0
1985,12,101.2,17.3,5.3
1986,01,38.4,19.9,5.9
1986,02,42.7,18.7,5.1
1986,03,63.1,15.9,4.0
1986,04,11.9,19.3,1.7
1986,05,0.7,15.8,-2.7
1986,06,0.2,14.6,-6.3
1986,07,0.0,11.5,-8.1
1986,08,2.3,14.6,-3.6
1986,09,6.8,17.4,-0.9
1986,10,7.6,19.3,0.8
1986,11,20.7,20.6,3.1
1986,12,73.5,16.8,4.2
1987,01,100.4,18.9,5.7
1987,02,13.7,16.5,2.4
1987,03,2.6,18.0,2.3
1987,04,8.3,18.5,0.2
1987,05,0.0,15.7,-2.4
1987,06,7.1,14.9,-5.3
1987,07,5.3,13.1,-5.3
1987,08,4.6,15.3,-4.5
1987,09,0.0,18.0,-1.1
1987,10,0.0,19.8,-0.2
1987,11,0.0,20.7,5.9
1987,12,20.1,21.1,3.0
1988,01,40.8,18.8,5.1
1988,02,34.6,18.9,4.3
1988,03,45.9,16.7,4.9
1988,04,0.0,18.0,1.9
1988,05,0.0,14.9,-1.5
1988,06,0.0,13.0,-6.4
1988,07,0.0,14.2,-5.9
1988,08,0.0,17.7,-4.6
1988,09,13.1,18.0,-0.8
1988,10,5.3,18.8,-0.3
1988,11,0.0,19.9,1.5
1988,12,17.0,19.9,4.8
1989,01,22.4,18.2,4.9
1989,02,8.1,18.0,6.1
1989,03,35.0,18.4,7.7
1989,04,42.6,16.5,1.3
1989,05,0.0,15.8,2.9
1989,06,0.0,12.7,0.7
1989,07,0.0,13.0,0.6
1989,08,0.0,15.0,-5.3
1989,09,0.0,16.7,-3.2
1989,10,0.0,19.4,1.2
1989,11,27.4,18.7,1.5
1989,12,0.0,19.1,6.8
1990,01,87.3,18.2,7.8
1990,02,40.4,17.1,4.7
1990,03,4.6,18.3,3.2
1990,04,11.7,19.5,-1.5
1990,05,0.0,15.7,-8.9
1990,06,8.0,15.3,-11.1
1990,07,0.0,13.2,-15.1
1990,08,0.0,14.3,-11.1
1990,09,0.0,16.8,-11.2
1990,10,20.2,21.0,-2.5
1990,11,13.2,22.2,-0.6
1990,12,91.8,22.3,2.5
1991,01,85.5,21.1,3.4
1991,02,33.6,21.2,3.9
1991,03,24.7,20.7,4.0
1991,04,5.7,18.2,0.2
1991,05,0.0,16.4,-5.4
1991,06,0.0,13.8,-10.1
1991,07,0.0,13.9,-13.1
1991,08,0.0,16.3,-9.8
1991,09,0.0,17.2,-7.2
1991,10,11.2,19.3,-5.8
1991,11,3.5,19.4,-1.7
1991,12,4.0,20.3,-2.0
1992,01,91.7,18.1,1.6
1992,02,9.6,19.8,0.4
1992,03,0.0,19.4,-1.7
1992,04,0.0,18.4,-4.2
1992,05,0.0,17.0,-7.0
1992,06,0.0,14.7,-10.2
1992,07,0.0,14.4,-14.1
1992,08,0.0,14.4,-7.9
1992,09,0.0,15.7,-7.0
1992,10,3.0,18.5,-0.6
1992,11,4.4,19.9,1.9
1992,12,86.9,20.8,4.2
1993,01,125.1,16.8,2.9
1993,02,2.3,18.9,2.3
1993,03,42.0,20.0,3.1
1993,04,1.1,17.9,0.8
1993,05,0.0,15.2,-2.6
1993,06,0.0,12.9,-7.3
1993,07,0.0,13.7,-7.3
1993,08,11.5,12.1,-4.7
1993,09,0.0,16.2,-0.9
1993,10,7.3,18.8,1.8
1993,11,3.1,21.5,4.7
1993,12,22.3,20.9,5.2
1994,01,134.8,20.4,4.6
1994,02,66.2,19.1,4.5
1994,03,2.0,20.2,5.0
1994,04,0.0,18.3,3.6
1994,05,0.0,14.0,-2.4
1994,06,0.0,9.8,-7.5
1994,07,0.0,10.3,-6.4
1994,08,0.0,10.4,-3.4
1994,09,10.1,16.5,0.7
1994,10,0.0,17.2,1.8
1994,11,0.0,18.9,2.4
1994,12,89.6,19.0,4.5
1995,01,101.5,19.4,3.7
1995,02,38.8,19.7,3.8
1995,03,55.6,18.7,4.5
1995,04,0.0,17.2,-0.9
1995,05,5.9,15.3,-3.1
1995,06,0.0,14.0,-7.4
1995,07,0.0,14.3,-6.3
1995,08,0.0,15.3,-0.8
1995,09,0.0,18.6,1.6
1995,10,0.0,19.0,1.8
1995,11,0.0,20.2,3.4
1995,12,41.2,18.0,2.7
1996,01,118.4,17.0,2.1
1996,02,86.4,16.8,2.6
1996,03,9.7,16.7,1.4
1996,04,1.1,14.7,1.2
1996,05,0.0,13.5,-3.5
1996,06,0.0,13.2,-8.2
1996,07,0.0,12.9,-5.8
1996,08,13.0,13.0,-3.5
1996,09,0.0,13.1,-0.9
1996,10,0.0,16.2,0.6
1996,11,10.5,18.7,3.6
1996,12,56.1,19.0,2.8
1997,01,150.1,16.8,5.3
1997,02,154.1,18.3,4.5
1997,03,53.2,16.5,4.3
1997,04,59.3,15.9,2.8
1997,05,0.0,12.8,-0.9
1997,06,0.0,11.0,-6.0
1997,07,0.0,11.9,-4.9
1997,08,0.0,13.9,0.1
1997,09,9.4,17.6,2.6
1997,10,4.3,18.5,1.7
1997,11,0.0,20.3,3.6
1997,12,17.5,22.6,1.2
1998,01,21.4,20.2,4.3
1998,02,25.3,22.2,3.8
1998,03,0.0,21.4,4.0
1998,04,0.0,18.1,1.7
1998,05,0.0,17.2,-5.7
1998,06,0.0,14.6,-6.9
1998,07,0.0,16.8,-5.6
1998,08,0.0,18.0,-1.8
1998,09,0.0,19.4,-1.4
1998,10,0.0,20.1,1.4
1998,11,14.0,21.0,1.6
1998,12,7.1,21.6,2.9
1999,01,165.8,21.0,4.7
1999,02,110.8,18.0,4.6
1999,03,102.6,21.0,4.7
1999,04,12.8,16.9,0.6
1999,05,0.0,16.7,-4.9
1999,06,0.0,14.6,-9.4
1999,07,0.0,16.5,-4.4
1999,08,0.0,15.1,-2.0
1999,09,0.0,18.8,2.2
1999,10,14.2,18.8,2.9
1999,11,0.0,21.0,1.1
1999,12,33.7,22.5,4.3
2000,01,92.2,19.3,5.3
2000,02,32.7,18.3,4.3
2000,03,19.9,19.3,4.4
2000,04,12.5,16.2,1.9
2000,05,0.0,16.3,0.6
2000,06,0.0,16.3,-7.5
2000,07,0.0,15.9,-4.1
2000,08,0.0,19.2,4.0
2000,09,0.2,17.0,-3.4
2000,10,11.5,20.1,4.4
2000,11,0.0,22.1,3.4
2000,12,51.7,19.2,3.6
2001,01,87.9,16.0,4.4
2001,02,167.9,16.9,5.9
2001,03,60.3,16.4,4.2
2001,04,6.9,17.5,0.1
2001,05,0.1,15.5,-3.8
2001,06,1.2,15.2,-6.0
2001,07,0.1,15.2,-6.8
2001,08,4.3,14.2,-1.2
2001,09,3.5,17.0,0.5
2001,10,10.7,20.6,1.0
2001,11,7.5,22.5,2.0
2001,12,29.6,19.3,2.6
2002,01,20.8,19.9,4.5
2002,02,94.2,18.7,5.2
2002,03,49.4,18.5,5.1
2002,04,7.5,18.3,3.4
2002,05,0.6,16.3,-0.1
2002,06,2.7,15.1,-3.4
2002,07,3.6,12.1,-3.3
2002,08,3.0,15.8,-2.9
2002,09,2.5,16.6,-1.2
2002,10,20.8,19.1,2.4
2002,11,11.4,20.8,2.6
2002,12,16.0,21.0,3.9
2003,01,70.5,20.2,5.2
2003,02,31.8,19.6,5.1
2003,03,19.2,18.5,4.5
2003,04,0.6,17.9,0.0
2003,05,1.6,15.5,-2.8
2003,06,0.0,14.6,-7.8
2003,07,10.3,14.1,-5.5
2003,08,1.6,14.9,-7.9
2003,09,0.7,16.4,-3.1
2003,10,3.9,19.3,-0.6
2003,11,0.0,21.6,1.2
2003,12,24.3,21.2,3.3
2004,01,134.6,18.4,6.8
2004,02,86.6,19.6,6.0
2004,03,15.2,19.0,4.1
2004,04,0.0,17.5,1.6
2004,05,0.0,17.1,-8.3
2004,06,10.1,15.7,-9.9
2004,07,10.2,13.9,-11.3
2004,08,25.5,13.1,-1.0
2004,09,0.0,17.2,1.5
2004,10,0.0,19.0,0.5
2004,11,0.0,20.2,1.9
2004,12,17.4,19.0,4.3
2005,01,82.3,19.0,6.3
2005,02,178.1,15.0,4.6
