anio,mes,pp,tmax,tmin
1975,01,145.0,,
1975,02,204.1,,
1975,03,85.0,,
1975,04,16.7,,
1975,05,7.5,,
1975,06,0.0,,
1975,07,0.0,,
1975,08,0.0,,
1975,09,53.0,,
1975,10,59.0,,
1975,11,55.2,,
1975,12,95.8,,
1976,01,88.3,,
1976,02,53.0,,
1976,03,39.3,,
1976,04,1.9,,
1976,05,0.2,,
1976,06,0.0,,
1976,07,0.0,,
1976,08,6.5,,
1976,09,42.7,,
1976,10,1.2,,
1976,11,33.0,,
1976,12,43.4,,
1977,01,86.6,,
1977,02,100.2,,
1977,03,103.4,,
1977,04,0.7,,
1977,05,0.7,,
1977,06,0.0,,
1977,07,0.0,,
1977,08,0.0,,
1977,09,6.0,,
1977,10,26.7,,
1977,11,55.6,,
1977,12,136.4,,
1978,01,95.6,,
1978,02,72.0,,
1978,03,68.8,,
1978,04,14.3,,
1978,05,0.0,,
1978,06,0.0,,
1978,07,0.6,,
1978,08,10.1,,
1978,09,3.0,,
1978,10,11.0,,
1978,11,35.6,,
1978,12,151.2,,
1979,01,131.9,,
1979,02,39.9,,
1979,03,79.2,,
1979,04,20.0,,
1979,05,0.0,,
1979,06,0.0,,
1979,07,0.0,,
1979,08,0.0,,
1979,09,1.8,,
1979,10,16.8,,
1979,11,24.5,,
1979,12,78.8,,
1980,01,41.7,,
1980,02,37.5,,
1980,03,50.4,,
1980,04,0.0,,
1980,05,0.0,,
1980,06,0.0,,
1980,07,2.0,,
1980,08,16.5,,
1980,09,4.9,,
1980,10,23.0,,
1980,11,22.0,,
1980,12,25.3,,
1981,01,117.1,,
1981,02,73.0,,
1981,03,58.9,,
1981,04,16.7,,
1981,05,0.0,,
1981,06,0.0,,
1981,07,0.0,,
1981,08,21.1,,
1981,09,21.5,,
1981,10,14.8,,
1981,11,17.7,,
1981,12,59.0,,
1982,01,72.0,,
1982,02,62.3,,
1982,03,33.3,,
1982,04,6.0,,
1982,05,0.0,,
1982,06,0.0,,
1982,07,0.0,,
1982,08,0.0,,
1982,09,26.1,,
1982,10,11.0,,
1982,11,34.9,,
1982,12,62.7,,
1983,01,23.5,,
1983,02,33.0,,
1983,03,7.8,,
1983,04,13.5,,
1983,05,0.0,,
1983,06,0.0,,
1983,07,2.5,,
1983,08,15.9,,
1983,09,3.9,,
1983,10,15.6,,
1983,11,18.2,,
1983,12,53.6,,
1984,01,178.4,,
1984,02,128.4,,
1984,03,167.6,,
1984,04,7.9,,
1984,05,3.2,,
1984,06,1.1,,
1984,07,0.0,,
1984,08,1.2,,
1984,09,9.7,,
1984,10,52.4,,
1984,11,66.3,,
1984,12,43.9,,
1985,01,75.3,,
1985,02,96.0,,
1985,03,21.8,,
1985,04,58.9,,
1985,05,1.0,,
1985,06,0.0,,
1985,07,0.0,,
1985,08,5.2,,
1985,09,7.2,,
1985,10,39.5,,
1985,11,57.9,,
1985,12,109.2,,
1986,01,62.4,,
1986,02,68.7,,
1986,03,0.0,,
1986,04,9.2,,
1986,05,0.3,,
1986,06,0.4,,
1986,07,0.0,,
1986,08,0.0,,
1986,09,4.6,,
1986,10,28.0,,
1986,11,48.0,,
1986,12,147.2,,
1987,01,149.9,,
1987,02,36.6,,
1987,03,69.6,,
1987,04,10.4,,
1987,05,0.0,,
1987,06,11.5,,
1987,07,3.0,,
1987,08,0.0,,
1987,09,3.7,,
1987,10,60.1,,
1987,11,40.5,,
1987,12,31.0,,
1988,01,78.3,,
1988,02,53.2,,
1988,03,174.2,,
1988,04,44.0,,
1988,05,1.6,,
1988,06,0.0,,
1988,07,0.0,,
1988,08,0.0,,
1988,09,38.2,,
1988,10,18.0,,
1988,11,24.0,,
1988,12,95.2,,
1989,01,56.5,,
1989,02,59.5,,
1989,03,36.0,,
1989,04,90.7,,
1989,05,0.0,,
1989,06,1.2,,
1989,07,0.0,,
1989,08,0.0,,
1989,09,1.5,,
1989,10,10.0,,
1989,11,17.7,,
1989,12,54.5,,
1990,01,121.3,,
1990,02,81.5,,
1990,03,30.0,,
1990,04,19.3,,
1990,05,1.0,,
1990,06,11.8,,
1990,07,0.0,,
1990,08,5.2,,
1990,09,0.0,,
1990,10,29.6,,
1990,11,66.1,,
1990,12,103.9,,
1991,01,128.0,,
1991,02,89.7,,
1991,03,65.8,,
1991,04,17.8,,
1991,05,0.0,,
1991,06,0.0,,
1991,07,0.0,,
1991,08,0.5,,
1991,09,2.5,,
1991,10,34.3,,
1991,11,46.0,,
1991,12,34.9,,
1992,01,98.3,,
1992,02,84.2,,
1992,03,32.6,,
1992,04,2.5,,
1992,05,0.0,,
1992,06,6.8,,
1992,07,2.5,,
