"anio","mes","pp","tmax","tmin","spi3"
1975,1,148.4,16,3.9,NA
1975,2,140.8,15.6,4.7,NA
1975,3,34.4,17.3,3.2,0.812644906963247
1975,4,12.1,18.6,-1.9,0.525675499594465
1975,5,15.9,16.1,-4.6,-0.380045374347307
1975,6,11.6,15,-6.4,0.79626002844338
1975,7,0,15,-11.2,1.20347860216963
1975,8,1.4,17.4,-8.7,0.382906107919511
1975,9,9.5,18.2,-4.2,-0.0250925291275735
1975,10,26.5,18.4,-2.5,0.409395535266508
1975,11,17.5,20.4,-1.6,0.237150748280388
1975,12,85.6,17.6,3.1,0.454348248006597
1976,1,97.5,15.3,3.6,-0.0524106197953761
1976,2,58.7,17.5,3.4,-0.227791578903993
1976,3,39.6,18.1,2.7,-0.799988512934764
1976,4,14.8,17.9,-3.4,-0.764845946634019
1976,5,0.8,16.2,-7.4,-0.610468236763768
1976,6,0,15.3,-9.5,-0.221859195482369
1976,7,9.3,15.4,-8.2,0.387234746826891
1976,8,37.3,15.3,-8,1.61781259947039
1976,9,26.2,16,-1.4,1.78146138724418
1976,10,3.1,20.1,-5.5,1.23869132275516
1976,11,5.6,20.3,-3.5,-0.407882832647955
1976,12,24.7,20.5,1.9,-2.2647661392944
1977,1,66.7,19.8,2.8,-1.70400162308393
1977,2,118.6,17.6,3.7,-0.618174243327878
1977,3,37.4,17.3,3.9,-0.411815654417788
1977,4,0,18.7,-3.8,0.0329818667259165
1977,5,4.7,16,-7.2,-1.08984516511137
1977,6,0,15.1,-11.7,-1.13348682536686
1977,7,0,16.3,-9.8,-0.0217974387748309
1977,8,0,17.6,-10.6,-0.781033811522709
1977,9,4.7,18.9,-4.6,-0.490496115492997
1977,10,8.1,20,-1.1,-0.743812774171672
1977,11,58.3,19.3,2.3,0.726271116229717
1977,12,62,19.1,2.1,0.431455590103038
1978,1,98.6,16.6,4.6,0.17288639899924
1978,2,70.5,17.2,3.2,-0.35504238309702
1978,3,24.3,17.4,1.1,-0.836347668550962
1978,4,11.8,18.1,-1.1,-0.903009243804155
1978,5,0,17.4,-7.1,-1.34523269702842
1978,6,0,15.8,-8.8,-0.468832391344988
1978,7,1.2,15.6,-13.2,-0.438275023363527
1978,8,4,16.7,-5.6,-0.141479337792501
1978,9,0.1,18.2,-6.8,-0.432969009938792
1978,10,6,19.6,-2,-0.943782918493198
1978,11,39.9,20,2.2,-0.00267682902928918
1978,12,190,18.5,3.7,2.09762240503787
1979,1,156.6,15.8,4.5,1.81733564289507
1979,2,59.4,19.1,2.3,1.37571165690797
1979,3,96.7,17.6,4.1,0.69383179075786
1979,4,2.4,18.4,-2.4,0.0746323578998499
1979,5,0.8,17.9,-8.1,0.594594581910339
1979,6,0.1,16.9,-7.7,-1.33292099744178
1979,7,1.2,15.8,-9.2,-0.306689114397681
1979,8,0,18.1,-9.2,-0.557326148102182
1979,9,0,20,-6.4,-0.971863431966346
1979,10,17.1,20,-0.8,-0.474055823885669
1979,11,2,22.1,0.4,-1.14726256579241
1979,12,82.9,19.2,2.4,-0.112815637498402
1980,1,48.2,20.1,2.4,-1.02995616248167
1980,2,23.6,20.3,2.2,-1.40700572149872
1980,3,59.1,17.3,3.7,-1.91833448448808
1980,4,0,19.2,-2.9,-1.4680437007211
1980,5,6.2,17.7,-7.1,-0.29237671780608
1980,6,0.1,17.4,-9.4,-0.945270978473389
1980,7,3.6,15.8,-6.3,0.374473960695436
1980,8,1.3,17.7,-7.1,-0.158754109035566
1980,9,9.5,17.7,-3.5,0.164783721417983
1980,10,14.8,19.8,0.3,-0.0488161803754671
1980,11,14.7,22,0.1,-0.249952976244268
1980,12,28.1,21.1,0.5,-1.30253778054315
1981,1,55,18.4,4.8,-1.68728372618724
1981,2,65.2,16.8,4.4,-1.510366866005
1981,3,39.8,18.1,3.8,-1.37797723633013
1981,4,40.5,17.5,-1.4,-0.147006447058191
1981,5,0,17.8,-8.3,0.123354296844849
1981,6,0,15.7,-11.9,0.825218172885819
1981,7,0,16.5,-12,-0.709102503409024
1981,8,18.5,15.3,-6.1,0.65636829052386
1981,9,29.5,16.2,-3.8,1.26246021991252
1981,10,4,20.2,-3.3,0.861412078248893
1981,11,27,21.5,0.9,0.442404927324808
1981,12,79.5,20.2,3.8,0.0717432176614361
1982,1,132.4,17.5,4.5,0.405195869543698
1982,2,69.4,19.8,2.4,0.211623096928436
1982,3,86.2,17.8,2.1,0.414130797703058
1982,4,6.2,17.9,-2.1,0.128944478927079
1982,5,1,16.8,-9.8,0.445693649227328
1982,6,2,15.5,-10.9,-0.670233815732243
1982,7,0,16.3,-10,-0.19630995815135
1982,8,0,17.1,-7.8,-0.465689363378086
1982,9,21.2,17.5,-4.1,0.463796362331606
1982,10,14.7,19.7,-0.6,0.356908206667662
1982,11,48.6,20.5,2,1.04908054214646
1982,12,50.7,21.3,0.9,0.144975018271948
1983,1,36.6,22.5,2.6,-0.983319209439096
1983,2,65.5,20.9,3,-1.43737356616145
1983,3,5.2,22.8,1.2,-2.42296944717927
1983,4,24.4,20.8,-0.5,-1.16246042294575
1983,5,0,19.2,-6.6,-1.65883984775936
1983,6,0,16.6,-9.9,0.225929674907059
1983,7,0,17.9,-9.5,-0.709102503409024
1983,8,8.2,18.2,-6.5,0.0886145374012928
1983,9,21.3,18.6,-3.4,0.756451528683553
1983,10,0.2,21.2,-3.2,0.123497472559503
1983,11,5.7,21.7,-4.1,-0.738001633790369
1983,12,55.9,20.3,2.2,-1.16700832788257
1984,1,177.3,15.6,4.1,0.405195869543698
1984,2,193.2,14.6,2.9,1.54285849622259
1984,3,90.1,16.6,3.8,2.12365763698824
1984,4,3.1,18.4,-1.5,1.79767659711159
1984,5,5.8,18.3,-6.8,0.574364929357725
1984,6,14.8,16.5,-6.5,0.194654308179079
1984,7,0,16.2,-9.4,0.928865776387546
1984,8,5.5,16.5,-9,0.736035982824744
1984,9,0.3,18.5,-7.7,-0.387964780950001
1984,10,27.9,20.1,0.7,0.277305945041432
1984,11,83.6,19.4,1.7,1.61872285493652
1984,12,51.5,20.3,0.7,1.04246092854867
1985,1,117.4,18.2,2.8,0.555903013076573
1985,2,108.3,15.8,4.4,0.168011150179866
1985,3,58.1,18.2,2.5,0.365011173367894
1985,4,46.9,17.5,0.9,0.895046748969657
1985,5,2.6,17.4,-4,0.762982547754236
1985,6,14.9,15.1,-6.2,1.48056123532091
1985,7,0.1,15.6,-10.4,0.793615683048197
1985,8,1.5,18.1,-7.8,0.562741300358078
1985,9,31.9,17.7,-3.6,0.879412034968594
1985,10,2.4,20.1,-3.1,0.353359237571077
1985,11,61.4,17,1.1,1.2949492756378
1985,12,93.5,17,3.7,0.948057162683652
