anio,mes,pp,tmax,tmin
1975,01,106.5,17.5,4.7
1975,02,146.2,16.8,5.2
1975,03,49.2,17.9,4.1
1975,04,14.6,19.4,0.8
1975,05,6.0,16.4,-2.1
1975,06,5.8,13.9,-3.8
1975,07,0.0,13.9,-7.2
1975,08,0.0,16.8,-5.2
1975,09,10.2,17.2,-1.3
1975,10,1.9,18.6,-0.2
1975,11,0.0,21.4,0.6
1975,12,109.1,18.6,3.8
1976,01,167.7,15.9,4.6
1976,02,84.6,18.6,4.6
1976,03,7.3,19.2,4.0
1976,04,0.0,18.9,0.5
1976,05,5.0,15.5,-3.4
1976,06,0.0,13.1,-6.0
1976,07,2.0,13.4,-4.6
1976,08,12.0,13.1,-3.5
1976,09,22.0,14.4,-0.3
1976,10,0.0,21.1,-0.6
1976,11,0.0,21.4,0.8
1976,12,0.0,21.0,3.3
1977,01,33.0,21.1,3.7
1977,02,74.0,19.8,4.3
1977,03,135.0,18.0,3.7
1977,04,0.0,19.3,0.5
1977,05,5.8,15.2,-2.0
1977,06,0.0,14.0,-6.2
1977,07,0.0,14.7,-5.0
1977,08,0.0,15.6,-3.9
1977,09,0.0,17.4,0.0
1977,10,2.0,20.1,2.0
1977,11,0.0,20.6,3.7
1977,12,12.0,18.5,3.7
1978,01,13.6,15.7,5.1
1978,02,13.0,17.0,4.7
1978,03,1.1,17.3,4.0
1978,04,0.0,17.5,1.9
1978,05,0.0,16.8,-3.0
1978,06,0.0,13.7,-6.4
1978,07,0.0,13.4,-7.6
1978,08,0.2,15.3,-3.0
1978,09,0.0,16.7,-3.1
1978,10,0.4,19.7,-0.1
1978,11,15.7,19.5,3.1
1978,12,6.2,19.5,3.5
1979,01,259.0,16.2,4.0
1979,02,6.0,19.2,4.2
1979,03,67.0,18.9,4.1
1979,04,0.0,18.5,0.9
1979,05,0.0,16.0,-3.7
1979,06,0.0,15.0,-3.5
1979,07,0.0,12.5,-3.3
1979,08,0.0,14.7,-5.0
1979,09,0.0,18.4,-2.2
1979,10,0.0,19.1,2.3
1979,11,0.0,22.0,3.4
1979,12,39.0,19.1,3.5
1980,01,1.2,20.1,3.1
1980,02,1.0,20.5,3.2
1980,03,1.0,17.5,4.3
1980,04,0.0,18.3,0.1
1980,05,0.0,15.9,-4.4
1980,06,0.0,15.3,-3.7
1980,07,0.0,13.8,-2.7
1980,08,0.0,15.8,-3.0
1980,09,0.2,15.5,-0.6
1980,10,0.2,19.4,2.5
1980,11,0.2,22.4,2.0
1980,12,0.0,21.2,2.7
1981,01,26.2,18.6,4.5
1981,02,68.3,16.4,4.2
1981,03,1.4,17.4,3.2
1981,04,0.0,16.5,-0.3
1981,05,0.0,16.1,-3.6
1981,06,0.0,12.5,-6.8
1981,07,0.0,13.5,-6.9
1981,08,1.2,14.1,-2.5
1981,09,3.0,14.4,-1.4
1981,10,0.0,19.5,1.3
1981,11,9.0,21.4,2.8
1981,12,125.5,21.0,4.3
1982,01,146.9,17.2,4.3
1982,02,7.0,20.0,3.8
1982,03,0.0,17.7,3.8
1982,04,0.0,17.0,1.0
1982,05,0.0,14.2,-4.8
1982,06,0.0,12.0,-6.0
1982,07,0.0,13.5,-5.8
1982,08,0.0,16.0,-3.2
1982,09,13.3,16.3,-0.7
1982,10,17.2,19.8,2.2
1982,11,1.3,21.7,4.0
1982,12,13.0,21.3,3.9
1983,01,4.9,23.0,4.8
1983,02,8.0,21.6,5.0
1983,03,14.0,24.5,4.5
1983,04,0.0,22.2,2.9
1983,05,0.0,17.8,-2.2
1983,06,0.0,14.8,-5.3
1983,07,0.0,16.5,-4.7
1983,08,0.0,17.5,-2.4
1983,09,30.0,18.6,0.2
1983,10,0.0,21.2,1.4
1983,11,0.0,22.5,1.2
1983,12,2.0,21.2,4.1
1984,01,35.0,13.9,4.3
1984,02,40.5,14.1,4.8
1984,03,9.4,15.9,5.1
1984,04,8.1,17.5,3.0
1984,05,0.0,15.7,-0.8
1984,06,0.0,13.5,-2.5
1984,07,0.0,13.1,-4.5
1984,08,0.8,13.8,-3.0
1984,09,0.0,16.8,-1.9
1984,10,75.5,20.0,3.4
1984,11,40.4,18.7,4.1
1984,12,4.5,19.3,4.0
1985,01,83.9,17.1,4.6
1985,02,96.6,15.4,4.5
1985,03,42.1,18.6,3.7
1985,04,37.7,17.4,2.3
1985,05,2.3,17.0,-0.8
1985,06,5.2,13.9,-3.6
1985,07,0.5,13.6,-5.5
1985,08,2.5,17.2,-2.9
1985,09,24.7,16.6,0.5
1985,10,10.3,20.4,0.5
1985,11,68.8,16.5,3.2
1985,12,87.4,17.2,4.4
1986,01,54.8,19.7,4.6
1986,02,51.8,18.4,4.1
1986,03,53.2,17.7,3.7
1986,04,14.3,19.6,1.6
1986,05,2.3,16.8,-3.0
1986,06,0.4,16.0,-6.1
1986,07,0.0,12.8,-7.2
1986,08,4.2,15.7,-3.7
