anio,mes,pp,tmax,tmin
1975,01,152.4,22.0,7.6
1975,02,216.2,21.4,7.8
1975,03,76.3,22.1,6.6
1975,04,21.7,23.0,2.9
1975,05,8.3,21.0,-0.5
1975,06,4.4,19.5,-2.5
1975,07,0.0,19.4,-6.1
1975,08,4.0,21.1,-4.2
1975,09,30.6,21.5,0.2
1975,10,47.2,22.4,1.5
1975,11,22.7,24.2,2.4
1975,12,69.2,22.7,6.2
1976,01,154.9,20.7,7.3
1976,02,62.2,22.5,7.3
1976,03,38.0,22.9,6.9
1976,04,7.2,22.6,3.0
1976,05,0.1,20.4,-1.6
1976,06,0.0,18.3,-5.2
1976,07,1.6,18.5,-3.6
1976,08,13.7,18.4,-2.3
1976,09,31.7,20.2,1.2
1976,10,3.6,23.9,1.5
1976,11,33.8,24.3,3.0
1976,12,64.1,24.2,5.9
1977,01,51.2,24.9,6.0
1977,02,94.7,24.6,6.5
1977,03,60.1,22.9,5.3
1977,04,5.5,22.6,2.7
1977,05,4.1,20.2,-0.5
1977,06,0.0,20.3,-5.1
1977,07,0.0,20.1,-3.9
1977,08,25.9,20.0,-2.9
1977,09,11.6,21.7,1.1
1977,10,49.1,23.6,4.0
1977,11,41.8,24.6,5.4
1977,12,106.9,22.7,5.9
1978,01,165.5,20.2,8.3
1978,02,85.6,21.5,8.2
1978,03,52.9,21.9,7.9
1978,04,10.3,22.0,6.0
1978,05,0.0,22.4,0.6
1978,06,0.0,19.1,-5.9
1978,07,0.0,19.0,-7.0
1978,08,0.0,20.5,-1.4
1978,09,3.2,21.3,-1.5
1978,10,20.1,23.9,1.7
1978,11,23.6,23.1,5.4
1978,12,114.8,24.6,5.2
1979,01,291.2,22.8,5.5
1979,02,41.8,23.9,6.1
1979,03,77.9,23.5,6.0
1979,04,16.1,22.5,1.9
1979,05,0.0,20.2,-3.0
1979,06,0.0,19.7,-2.8
1979,07,0.0,18.0,-2.5
1979,08,0.0,19.7,-3.7
1979,09,0.0,22.1,-0.4
1979,10,22.2,23.0,4.9
1979,11,26.4,24.5,6.6
1979,12,95.3,23.4,5.8
1980,01,76.4,23.4,5.6
1980,02,54.4,23.9,5.7
1980,03,51.2,22.0,6.4
1980,04,0.9,21.8,1.8
1980,05,0.0,20.3,-3.8
1980,06,0.0,19.7,-3.0
1980,07,5.3,19.1,-2.0
1980,08,20.9,20.6,-2.2
1980,09,14.7,20.3,0.1
1980,10,62.4,22.9,3.5
1980,11,6.4,24.6,3.6
1980,12,54.7,23.9,4.2
1981,01,125.0,22.3,5.8
