anio,mes,pp,tmax,tmin
1975,01,96.6,13.7,3.9
1975,02,108.7,13.3,4.3
1975,03,31.8,13.9,3.0
1975,04,11.9,14.7,-0.8
1975,05,5.3,13.3,-3.9
1975,06,7.3,12.1,-5.8
1975,07,0.0,12.1,-9.6
1975,08,0.0,13.5,-7.5
1975,09,4.7,13.6,-3.1
1975,10,0.0,14.3,-1.9
1975,11,2.4,15.6,-1.0
1975,12,106.8,14.3,2.8
1976,01,107.6,12.6,3.7
1976,02,49.1,13.9,3.4
1976,03,42.4,14.3,2.7
1976,04,0.0,14.3,-1.8
1976,05,0.0,12.8,-5.7
1976,06,0.0,12.2,-8.0
1976,07,0.0,12.2,-6.5
1976,08,1.5,12.0,-5.6
1976,09,0.0,12.3,-1.2
1976,10,0.0,15.6,-3.1
1976,11,0.0,15.6,-1.3
1976,12,44.2,15.4,2.2
1977,01,42.0,15.1,2.8
1977,02,179.6,14.0,3.7
1977,03,56.5,13.7,3.5
1977,04,0.0,14.7,-1.6
1977,05,0.0,12.7,-4.5
1977,06,0.0,12.0,-9.1
1977,07,0.0,12.5,-7.4
1977,08,0.0,13.3,-6.8
1977,09,0.0,13.9,-1.9
1977,10,16.0,15.0,0.3
1977,11,11.0,14.9,2.9
1977,12,61.5,14.3,2.7
1978,01,114.4,13.0,4.3
1978,02,8.5,13.6,3.6
1978,03,9.0,13.7,2.5
1978,04,9.0,13.9,0.2
1978,05,0.0,13.6,-5.3
1978,06,0.0,12.3,-8.0
1978,07,0.0,12.1,-10.2
1978,08,0.0,12.9,-4.9
1978,09,0.0,13.6,-5.3
1978,10,11.5,14.7,-1.5
1978,11,17.0,14.9,2.0
1978,12,42.5,14.2,3.2
1979,01,133.6,12.4,3.8
1979,02,13.4,14.3,3.3
1979,03,38.0,13.9,3.7
1979,04,0.0,14.2,-0.5
1979,05,0.0,13.5,-5.8
1979,06,0.0,13.0,-5.5
1979,07,0.2,11.9,-5.9
1979,08,0.0,13.1,-7.4
1979,09,0.0,14.6,-4.3
1979,10,1.0,14.7,0.6
1979,11,0.0,16.1,1.5
1979,12,70.2,14.4,2.7
1980,01,10.0,15.1,2.4
1980,02,18.4,15.2,2.3
1980,03,68.0,13.6,3.6
1980,04,0.0,14.5,-1.7
1980,05,0.0,13.5,-6.1
1980,06,0.0,13.3,-6.3
1980,07,3.5,12.3,-4.5
1980,08,0.0,13.3,-4.9
1980,09,0.0,13.2,-1.9
1980,10,15.0,14.8,1.6
1980,11,0.0,16.3,0.8
1980,12,5.6,15.7,1.6
1981,01,105.9,14.3,4.5
1981,02,180.2,13.3,4.1
1981,03,7.7,14.0,3.1
1981,04,28.8,13.6,-1.3
1981,05,0.0,13.5,-5.8
1981,06,0.0,12.0,-9.3
1981,07,0.0,12.4,-9.3
