anio,mes,pp,tmax,tmin
1975,01,56.5,20.4,7.4
1975,02,82.5,17.4,5.0
1975,03,53.6,17.2,3.6
1975,04,0.5,19.2,-1.5
1975,05,2.4,14.7,-5.9
1975,06,0.0,12.3,-9.4
1975,07,0.0,12.4,-11.9
1975,08,1.2,13.0,-13.1
1975,09,0.0,14.7,-7.2
1975,10,0.0,17.3,-5.4
1975,11,41.0,19.6,-3.9
1975,12,77.0,21.8,2.3
1976,01,47.2,19.6,4.0
1976,02,17.0,24.1,6.7
1976,03,12.6,23.7,4.8
1976,04,0.0,21.9,-1.2
1976,05,0.0,17.8,-6.8
1976,06,0.0,16.1,-11.9
1976,07,0.0,13.3,-11.1
1976,08,17.2,12.5,-6.8
1976,09,15.6,14.2,-3.1
1976,10,0.0,18.0,-6.5
1976,11,0.0,18.7,-3.6
1976,12,19.5,21.3,2.4
1977,01,44.7,21.5,3.0
1977,02,96.9,20.6,6.2
1977,03,47.3,20.1,5.2
1977,04,1.3,18.4,-1.7
1977,05,4.6,15.4,-7.5
1977,06,0.0,11.3,-13.6
1977,07,0.0,10.1,-12.7
1977,08,0.0,12.8,-12.0
1977,09,0.3,16.6,-6.5
1977,10,4.2,19.0,-3.0
1977,11,3.6,21.0,1.7
1977,12,59.8,18.9,2.9
1978,01,62.4,13.2,5.9
1978,02,38.0,16.1,5.6
1978,03,23.0,17.0,5.1
1978,04,7.4,17.3,2.5
1978,05,0.0,17.9,-4.6
1978,06,0.0,11.7,-12.2
1978,07,0.0,11.0,-14.2
1978,08,0.0,14.1,-9.1
1978,09,0.0,15.8,-9.5
1978,10,1.5,20.0,-1.3
1978,11,12.6,20.9,1.6
1978,12,93.4,20.5,2.6
1979,01,64.1,18.1,3.1
1979,02,4.0,20.2,2.4
1979,03,8.5,20.2,2.3
1979,04,0.0,16.9,-4.5
1979,05,0.0,13.9,-10.8
1979,06,0.0,12.9,-9.6
1979,07,0.0,12.4,-8.5
1979,08,0.0,14.7,-9.6
1979,09,0.0,16.4,-4.4
1979,10,0.0,19.7,2.0
1979,11,0.0,21.1,2.2
1979,12,15.2,20.6,4.5
1980,01,5.5,20.4,3.6
1980,02,3.0,20.8,2.6
1980,03,22.1,19.7,1.7
1980,04,0.0,17.7,-5.4
1980,05,0.0,14.2,-12.0
1980,06,0.0,12.6,-13.0
1980,07,0.0,11.8,-10.0
1980,08,0.0,14.3,-10.8
1980,09,0.0,15.3,-6.5
1980,10,0.0,19.0,-1.2
1980,11,0.0,20.4,-3.0
1980,12,0.0,21.6,-1.3
1981,01,60.0,21.2,3.6
1981,02,43.5,19.2,2.6
1981,03,23.6,19.4,0.2
1981,04,4.3,15.6,-4.1
1981,05,0.0,13.1,-11.4
1981,06,0.0,9.3,-14.5
1981,07,0.0,9.7,-17.9
1981,08,2.1,11.8,-11.4
1981,09,2.0,13.9,-7.4
1981,10,0.0,17.1,-5.4
1981,11,0.0,20.1,-2.1
1981,12,27.0,20.6,1.4
1982,01,116.5,17.2,1.9
1982,02,29.0,18.8,0.2
1982,03,41.5,17.1,-1.1
1982,04,13.0,15.5,-4.4
1982,05,0.0,10.5,-11.1
1982,06,0.0,8.4,-13.6
1982,07,0.0,10.3,-14.0
1982,08,4.0,15.2,-7.0
1982,09,9.0,17.9,-2.8
1982,10,0.0,20.1,1.0
1982,11,0.0,22.9,3.7
1982,12,26.0,22.5,5.1
1983,01,9.2,23.1,6.0
1983,02,11.0,22.8,5.5
1983,03,13.0,25.1,5.0
1983,04,0.0,22.0,1.6
1983,05,0.0,17.0,-3.1
1983,06,0.0,14.2,-5.5
1983,07,0.0,14.9,-6.9
1983,08,0.0,17.6,-6.0
1983,09,23.1,16.1,-2.8
1983,10,0.0,19.6,-2.2
1983,11,0.1,20.0,-2.1
1983,12,5.3,23.1,3.2
1984,01,231.2,17.6,6.2
1984,02,70.4,18.2,6.4
1984,03,60.2,19.4,6.4
