"anio","mes","pp","tmax","tmin","spi3"
1975,1,96.6,13.7,3.9,NA
1975,2,108.7,13.3,4.3,NA
1975,3,31.8,13.9,3,0.542865884071023
1975,4,11.9,14.7,-0.8,0.612589597655826
1975,5,5.3,13.3,-3.9,0.212777551520713
1975,6,7.3,12.1,-5.8,1.21556309707378
1975,7,0,12.1,-9.6,1.13389705031836
1975,8,0,13.5,-7.5,0.85056635207502
1975,9,4.7,13.6,-3.1,0.62569353204147
1975,10,0,14.3,-1.9,0.300901969519916
1975,11,2.4,15.6,-1,0.104799873638573
1975,12,106.8,14.3,2.8,1.43091302772859
1976,1,107.6,12.6,3.7,1.31954642351652
1976,2,49.1,13.9,3.4,0.988595082474449
1976,3,42.4,14.3,2.7,0.158074481020889
1976,4,0,14.3,-1.8,-0.16329780660792
1976,5,0,12.8,-5.7,0.0318056694373232
1976,6,0,12.2,-8,-0.27592106310796
1976,7,0,12.2,-6.5,0.109200481691432
1976,8,1.5,12,-5.6,0.46978912248738
1976,9,0,12.3,-1.2,0.358871218127792
1976,10,0,15.6,-3.1,0.0856767797491496
1976,11,0,15.6,-1.3,-0.450744212615359
1976,12,44.2,15.4,2.2,0.185135003755161
1977,1,42,15.1,2.8,-0.568444014649957
1977,2,179.6,14,3.7,1.01160050602647
1977,3,56.5,13.7,3.5,0.914917526484554
1977,4,0,14.7,-1.6,1.40413121831622
1977,5,0,12.7,-4.5,0.401821822224463
1977,6,0,12,-9.1,-0.27592106310796
1977,7,0,12.5,-7.4,0.109200481691432
1977,8,0,13.3,-6.8,0.21972291581858
1977,9,0,13.9,-1.9,0
1977,10,16,15,0.3,0.768707782989945
1977,11,11,14.9,2.9,0.743834270359727
1977,12,61.5,14.3,2.7,1.10070034910188
1978,1,114.4,13,4.3,0.974068222752614
1978,2,8.5,13.6,3.6,0.101014925301441
1978,3,9,13.7,2.5,-0.666194695059663
1978,4,9,13.9,0.2,-1.49245868336823
1978,5,0,13.6,-5.3,-0.820317740111854
1978,6,0,12.3,-8,0.376459214223059
1978,7,0,12.1,-10.2,0.109200481691432
1978,8,0,12.9,-4.9,0.21972291581858
1978,9,0,13.6,-5.3,0
1978,10,11.5,14.7,-1.5,0.609239731870933
1978,11,17,14.9,2,0.779656815791724
1978,12,42.5,14.2,3.2,0.782673085675789
1979,1,133.6,12.4,3.8,1.0484768171713
1979,2,13.4,14.3,3.3,0.165124450114641
1979,3,38,13.9,3.7,0.00287210035120401
1979,4,0,14.2,-0.5,-0.879166968585451
1979,5,0,13.5,-5.8,-0.0980113515743922
1979,6,0,13,-5.5,-0.27592106310796
1979,7,0.2,11.9,-5.9,0.191256204345493
1979,8,0,13.1,-7.4,0.296310216567026
1979,9,0,14.6,-4.3,0.135021360892203
1979,10,1,14.7,0.6,0.0396806448733805
1979,11,0,16.1,1.5,-0.289131228582868
1979,12,70.2,14.4,2.7,0.786562688762989
1980,1,10,15.1,2.4,-0.693503404438026
1980,2,18.4,15.2,2.3,-1.22595702768841
1980,3,68,13.6,3.6,-1.22664604763072
1980,4,0,14.5,-1.7,-0.241834674754055
1980,5,0,13.5,-6.1,0.664556447011865
1980,6,0,13.3,-6.3,-0.27592106310796
1980,7,3.5,12.3,-4.5,0.587823256240358
1980,8,0,13.3,-4.9,0.630697896976678
1980,9,0,13.2,-1.9,0.541949713627028
1980,10,15,14.8,1.6,0.735231669013428
1980,11,0,16.3,0.8,0.409500778960674
1980,12,5.6,15.7,1.6,-0.561676672352197
1981,1,105.9,14.3,4.5,-0.0985610465059756
1981,2,180.2,13.3,4.1,1.26221406367722
1981,3,7.7,14,3.1,1.04790261735507
1981,4,28.8,13.6,-1.3,1.2387618315641
1981,5,0,13.5,-5.8,-0.144184252757158
1981,6,0,12,-9.3,1.40208214382766
1981,7,0,12.4,-9.3,0.109200481691432
1981,8,1.5,12.1,-4.1,0.46978912248738
1981,9,10.2,12.5,-2.7,0.977058823024821
1981,10,0,15,-0.4,0.616865519609985
1981,11,4.5,15.9,1.9,0.399645034221645
1981,12,72.5,15.4,3.9,0.896589422227033
1982,1,86.9,13.6,4.1,0.683157877668941
1982,2,28.4,15.1,3,0.143883919892884
1982,3,42.3,14,3.1,-0.323154773230451
1982,4,3.5,13.7,-0.4,-0.442314957162924
1982,5,0,12.7,-7.2,0.126928560367149
1982,6,0,11.7,-8.5,-0.0218282529112096
1982,7,0,12.4,-8.1,0.109200481691432
1982,8,0,13.2,-5.4,0.21972291581858
1982,9,8.5,13.3,-2.3,0.835628299742185
1982,10,23.6,14.9,0.9,1.21359920190126
1982,11,11.5,15.7,3,1.09592268997819
1982,12,8.5,15.9,2.6,0.169517933664271
1983,1,0,16.7,3.6,-2.66548473269347
1983,2,16,15.8,3.7,-3.45494158286807
1983,3,9.4,17.2,2.5,-3.14033818540784
1983,4,0,15.9,0.7,-1.52319179894703
1983,5,0,14.1,-4.8,-1.21268633286101
1983,6,0,12.7,-7.8,-0.27592106310796
1983,7,0,13.6,-7.5,0.109200481691432
1983,8,0,13.9,-4.7,0.21972291581858
1983,9,5.6,14.2,-1.6,0.681526769659692
1983,10,3,15.6,-0.8,0.491239764309944
1983,11,0,16.2,-1.6,0.171957203231831
1983,12,14.5,15.5,2.4,-0.689333382963176
1984,1,148.8,12.1,3.5,0.675223187692174
1984,2,173.5,12.6,3.9,1.66652192375589
1984,3,95.1,13,3.9,1.96330972797512
1984,4,0,14.1,0.5,1.66322261014925
1984,5,0.5,13.6,-3.9,1.20101232249569
1984,6,0,12.3,-4.7,-0.249496345027087
1984,7,0,12.2,-7.1,0.254107926494768
1984,8,0,12.4,-5.7,0.21972291581858
1984,9,0,13.7,-4.7,0
1984,10,19.4,15.1,2,0.875892073751396
1984,11,47,14.5,3,1.47776337438259
1984,12,2.9,14.9,2.4,0.749339133465161
1985,1,64.3,13.7,3.7,-0.0528734584498368
1985,2,68.5,12.9,3.9,-0.58162648269798
1985,3,28.8,14.3,2.8,-0.273284212562459
1985,4,29.1,13.8,1.4,0.311295029411936
1985,5,0.4,13.6,-2.6,0.444937945052164
1985,6,7.7,12.3,-5.3,1.73090373268182
1985,7,0,12.1,-8.3,0.899999749800622
1985,8,2.3,13.9,-5.5,0.976641729986737
1985,9,15.7,13.4,-1.6,1.20685993482883
1985,10,0.6,15.1,-1.6,0.851509886847816
1985,11,55.9,13.4,2,1.5631606358938
1985,12,47.9,13.9,4,1.35796199759265
1986,1,41,14.7,3.9,0.420565982764685
1986,2,39.6,14.1,3.5,-0.696139368831489
