"anio","mes","pp","tmax","tmin","spi3"
1975,1,139,16.8,6.2,NA
1975,2,202.5,15.9,6.5,NA
1975,3,69,17,5.4,1.66349597790958
1975,4,26,18.4,2.1,1.7973840568567
1975,5,7,15.3,-1,0.969072867315901
1975,6,5.1,12.9,-2.7,1.26599317739855
1975,7,0,12.8,-6,0.776286159837325
1975,8,0,15.5,-4.2,-0.0876979869443882
1975,9,25,16.1,-0.3,0.607727944632216
1975,10,40,17.5,0.9,1.43572345106855
1975,11,10.9,20.3,1.7,0.894160232990499
1975,12,60,17.8,5.1,0.386015760263652
1976,1,133,13.9,6.3,0.324600174399846
1976,2,64,16.6,6.1,0.255216797170727
1976,3,38,17.5,6.3,0.0528358849354803
1976,4,0,17.2,3.4,-0.559270264696818
1976,5,0,13.5,-1.4,-0.728292439812274
1976,6,0,11.5,-3.9,-1.51238958606768
1976,7,8,11.9,-3,0.469485714740506
1976,8,21.5,10.6,-2.5,1.29158338210968
1976,9,36.5,13,1,1.98597683857179
1976,10,0,20.2,1.5,1.19946156697474
1976,11,0,20.8,2.6,-0.314253447503407
1976,12,93.2,21,5.4,0.00960191521886232
1977,1,86.2,19.5,5.8,0.025268900896686
1977,2,102.2,19.6,6.2,0.510817898843019
1977,3,85.5,16.6,5.7,0.464748809810185
1977,4,0,18.7,3.2,0.676440951953185
1977,5,17.7,15,1.7,0.992768648405122
1977,6,0,11,-3.9,0.232609422846979
1977,7,0,12.5,-3.3,1.11214366643476
1977,8,0,13.5,-0.9,-0.938814316876903
1977,9,7.5,16.3,2,-0.467645514024526
1977,10,29,19.2,4.6,0.335571738432804
1977,11,68.7,20.2,5.7,1.54048276841086
1977,12,111.6,18.1,5.5,1.97159382259464
1978,1,116,14.4,6.7,1.27740316766506
1978,2,61.4,16,6.4,0.584805233833433
1978,3,36.2,16.5,6,-0.193504144777094
1978,4,3.7,16.6,4.1,-0.571878686452117
1978,5,0,16.5,-0.9,-0.656408826737812
1978,6,0,12.5,-5.5,-1.05469007792846
1978,7,0,12.2,-6.6,-0.781033811522709
1978,8,0.1,14.3,-1.8,-0.892815162955719
1978,9,0.8,15.7,-1.9,-1.15857454441848
1978,10,14.7,19.1,1.2,-0.90761516801614
1978,11,32.8,18.5,4.4,0.113717950865555
1978,12,70.1,19.6,4.5,0.518055993510424
1979,1,328.2,14.8,5.6,2.37051945485426
1979,2,11,17.7,6.4,1.64495014582692
1979,3,62.3,19.6,6.6,1.59326872956556
1979,4,15,19.3,3.4,-0.817830183324611
1979,5,0,15.9,-1.2,0.434895199466477
1979,6,0,13.9,0.3,0.0477711964797045
1979,7,0,11.9,1.8,-0.781033811522709
1979,8,0,12.5,-3.2,-0.938814316876903
1979,9,0,16.6,0,-1.23349456196869
1979,10,6.5,18.4,4.7,-1.71589974998008
1979,11,19.9,21.8,5.6,-0.764705687171612
1979,12,90.4,19.6,6,0.502555047430654
1980,1,16.6,19.6,6,-0.724411545538155
1980,2,15.1,21.2,5.8,-1.56678491876237
1980,3,86.9,17.4,6.9,-1.55747332388328
1980,4,6.1,17.2,2.4,-0.451836671852554
1980,5,1,14.2,-1.6,0.806308461162216
1980,6,0,13.9,2.1,-0.640994987903119
1980,7,9.2,12.9,0.2,0.642780607725652
1980,8,15.1,14.1,0.2,1.08309600914917
1980,9,3.2,14.5,1,0.719945743372093
