"anio","mes","pp","tmax","tmin","spi3"
1975,1,126.9,11.3,3.1,NA
1975,2,127.4,11,4,NA
1975,3,37.2,11.6,2.5,0.600403799647453
1975,4,13.7,12.2,-1.9,0.729734193768236
1975,5,6.6,11.2,-5,-0.000670976624119327
1975,6,8.8,10.4,-7,0.898437995989433
1975,7,0,10.4,-11.6,0.955843074869825
1975,8,0.1,11.5,-8.8,0.528210056858555
1975,9,5.6,11.5,-4,0.152138931006003
1975,10,0.8,12,-2.7,-0.284260938438857
1975,11,8.1,13,-1.8,-0.367402246384833
1975,12,90.1,11.8,2.3,0.78980291281231
1976,1,207.7,10.6,3.1,1.3411380165648
1976,2,68.3,11.6,2.8,1.14623131483684
1976,3,32.5,11.9,1.9,0.727266292996707
1976,4,0,11.9,-3.4,-0.329109218175542
1976,5,0,10.9,-7.4,-0.767104515695536
1976,6,0,10.6,-9.8,-0.857254320221178
1976,7,0.4,10.5,-8.1,0.0362831322116548
1976,8,3,10.4,-7.2,0.152547644236282
1976,9,7.2,10.5,-2.1,0.432957640927102
1976,10,0,12.9,-4.8,-0.0361382392286149
1976,11,0,12.9,-2.7,-0.83623560092306
1976,12,37.1,12.7,1.4,-0.798541149832149
1977,1,55.7,12.5,2.1,-0.930736060390483
1977,2,227.7,11.6,3.1,0.848145333189213
1977,3,84.5,11.4,3,1.13781956952904
1977,4,1.3,12.2,-3.2,2.00682220483643
1977,5,2.1,10.8,-6.6,0.684876396227989
1977,6,0,10.4,-11.3,-0.522628222486003
1977,7,0,10.7,-9.3,0.289400338401653
1977,8,0,11.4,-9.2,-0.391196258189472
1977,9,0.3,11.7,-3.4,-0.505186471104556
1977,10,14,12.5,-1,0.187369019578548
1977,11,56.6,12.3,2.2,1.36847651180483
1977,12,51.4,12,1.9,1.20123163486939
1978,1,137.5,11.1,3.8,0.850533776321254
1978,2,17.6,11.4,2.9,-0.0448433203322759
1978,3,61.7,11.5,1.4,-0.0239138001186081
1978,4,14.9,11.7,-1.2,-0.442252320792851
1978,5,0,11.4,-7.2,0.450904806045173
1978,6,0,10.6,-9.6,0.270373746935993
1978,7,0.2,10.5,-12.3,-0.0277047871747764
1978,8,0.6,11,-6,-0.154150448397364
1978,9,0.3,11.5,-6.6,-0.315847962871062
1978,10,4.5,12.3,-2.7,-0.37127896145555
1978,11,37.2,12.4,1.5,0.673547056007929
1978,12,108.1,11.9,2.9,1.63708291546321
1979,1,178.8,10.6,3.5,1.47663230935132
1979,2,17.5,12,2.5,0.736361629616181
1979,3,39.4,11.5,3.1,0.146116613474748
1979,4,0.1,11.8,-1.8,-1.2126860678225
1979,5,0,11.5,-7.6,-0.524026570549311
1979,6,0,11.1,-7.5,-0.849842358105683
1979,7,0,10.4,-8.4,-0.21972291581858
1979,8,0,11.3,-9.2,-0.391196258189472
1979,9,2.6,12.3,-6,-0.112495602305737
1979,10,5.7,12.3,-0.6,-0.156360308714675
1979,11,21.3,13.3,0.4,0.282053283259719
1979,12,98.7,12,2,1.2626421060457
1980,1,45.1,12.5,1.7,0.0553441921328855
1980,2,12.5,12.6,1.6,-0.547227557827816
1980,3,104.5,11.4,3,-0.580798070265801
1980,4,0,12.2,-3,-0.0713587529651061
1980,5,0,11.5,-7.8,0.996264517949945
1980,6,0,11.3,-8.8,-0.857254320221178
1980,7,3.5,10.5,-6.1,0.40996512087791
1980,8,0,11.3,-6.7,0.161408060740227
1980,9,0.1,11.2,-3,-0.0133874684887119
1980,10,20.9,12.3,0.6,0.485586846929743
1980,11,1.8,13.4,-0.2,0.0227689934196823
1980,12,6.2,12.9,0.6,-1.13141752709224
1981,1,92.5,11.8,4,-0.804524891838433
1981,2,136.9,11.2,3.6,0.209213392684951
1981,3,44.4,11.7,2.6,0.463052202265943
1981,4,0,11.5,-2.4,0.763894448620045
1981,5,0,11.5,-7.8,-0.368935993142564
1981,6,0,10.5,-11.6,-0.857254320221178
1981,7,0,10.8,-11.6,-0.21972291581858
1981,8,18.7,10.4,-5.7,0.965872745957044
1981,9,3.2,10.7,-4,0.86926226511918
1981,10,0.1,12.5,-1.7,0.525153336887072
1981,11,31.5,13.2,1,0.456564617376681
1981,12,91.7,12.7,3.3,1.22294164184341
1982,1,100.3,11.4,3.6,0.652486658007096
1982,2,27.7,12.5,2.2,0.0731870697018837
1982,3,67,11.6,2.3,-0.23291242419022
1982,4,8.3,11.5,-1.7,-0.292524948358994
1982,5,0,11,-9.3,0.422612392967064
1982,6,0,10.3,-10.7,-0.130221319483063
1982,7,0,10.7,-10.2,-0.21972291581858
1982,8,0,11.3,-7.4,-0.391196258189472
1982,9,5.6,11.3,-3.9,0.145151018296993
1982,10,23,12.4,-0.1,0.76353518928788
1982,11,3,12.9,2.1,0.351239766826764
1982,12,20.9,13.1,1.5,-0.463081217580194
1983,1,2.9,13.6,2.7,-2.57894278197611
1983,2,4.4,13,3,-2.89646241330091
1983,3,4.5,14,1.5,-4.03498346118296
1983,4,0,13.1,-0.4,-3.32664081768156
1983,5,0.8,12,-6.4,-1.95488196112582
1983,6,0,11,-9.7,-0.781191113145964
1983,7,0.5,11.6,-9.5,0.197532419352129
1983,8,0,11.7,-6.4,-0.21163923726533
1983,9,10.5,11.9,-2.9,0.452147987524503
1983,10,15.5,12.9,-2.2,0.673861957704055
1983,11,0,13.4,-3.2,0.149925199941304
1983,12,28,12.8,1.7,-0.57338591965218
1984,1,224.4,10.4,3.2,0.910260672384443
1984,2,240.3,10.5,3.1,1.86583667437206
1984,3,110.2,11,3.3,2.3038954997465
1984,4,0,11.8,-0.7,2.29254823908353
1984,5,0,11.6,-5.8,1.09592973961353
1984,6,0.6,10.7,-6.4,-0.801718258106901
1984,7,0,10.6,-9.1,0.0831364442302578
1984,8,0.7,10.8,-7.7,-0.076534768271023
1984,9,0,11.7,-6.6,-0.395084532580973
1984,10,20.9,12.5,1,0.509453141682808
1984,11,62.7,12.2,2.2,1.61861339665537
1984,12,23.9,12.4,1.4,0.948379510558794
1985,1,91.3,11.6,3,0.196968306644957
1985,2,79.2,10.9,3.5,-0.157589796362872
1985,3,36.3,12,2.1,-0.117933335148115
1985,4,36.7,11.6,0.6,0.415330791487008
1985,5,2.4,11.5,-4.1,0.424799712223679
1985,6,8.8,10.5,-6.7,1.50710624964179
1985,7,0.6,10.5,-10.4,0.829750635137886
1985,8,6.4,11.7,-7.5,0.85252638497822
1985,9,17.5,11.3,-2.7,0.949524823089916
1985,10,2.7,12.6,-2.7,0.694999948590745
1985,11,69.6,11.4,1.3,1.73248339392867
1985,12,60.3,11.5,3.5,1.37416674907457
1986,1,65.9,12.1,3.2,0.384059742606028
1986,2,53.8,11.7,3,-0.298144554311179
1986,3,85.9,11.5,2.8,-0.129420174453828
1986,4,34.2,12,-0.3,0.678948492871407
1986,5,1.5,11.3,-7.5,1.28596427339721
1986,6,0,11.1,-10.7,1.13197589040936
1986,7,0,10.2,-11.8,0.223042660027566
1986,8,6.7,11,-7.7,0.398147443321961
1986,9,4.7,11.7,-3.8,0.470937430209889
1986,10,3.4,12.4,-3.5,0.212055961996166
1986,11,12.4,12.9,0.6,-0.0754509413831539
1986,12,98.9,11.7,3,1.07649402193459
1987,1,151.9,11.5,4.5,1.0016624966473
1987,2,24.3,12.2,0.6,0.522594066692097
1987,3,14,12.1,0.9,-0.281033846834136
1987,4,5.7,12.3,-2.2,-1.56822954250927
1987,5,3.4,11.6,-5.5,-1.14454669828404
1987,6,2.9,10.7,-8.1,0.107322209585227
1987,7,10.1,10.4,-7.4,0.987913111903769
1987,8,0.3,11.7,-8.5,0.745675051610219
1987,9,5.8,12.1,-5.5,0.671643698842852
1987,10,41.1,12.5,-1.9,1.29893099796318
1987,11,42.2,12.8,3.1,1.71986655675458
1987,12,16.1,13.4,1.2,0.797458758983151
1988,1,133,12.2,3.6,0.338130223751587
1988,2,27,12.4,2,-0.337521723214187
1988,3,131.4,11.5,3.5,0.599643404275995
1988,4,44.4,11.7,0.2,0.998593942245621
1988,5,15.4,11.3,-4.7,2.25738251599321
1988,6,3.6,10.9,-10.3,1.91283139911537
1988,7,0,11.1,-9.7,1.06660346696371
1988,8,0.1,12.4,-8.5,0.178766578703607
1988,9,6.9,12.3,-3.7,0.237169804555154
1988,10,2.3,12.7,-2.5,-0.0914613321173985
1988,11,0,13.1,-0.8,-0.689864616065723
1988,12,32.7,12.7,2.4,-0.878356891678654
1989,1,85.5,11.9,2.7,-0.538092476434661
1989,2,37.5,11.8,3,-0.553860528475415
1989,3,55.6,11.7,2.8,-0.400841209164607
1989,4,23.6,11.4,-0.8,-0.0759044160025779
1989,5,0.9,11.5,-4.6,0.525590111889439
1989,6,0.7,11,-6.6,0.746438344069198
1989,7,1.9,10.6,-8.1,0.40996512087791
1989,8,2.9,11.2,-8.5,0.317881730342764
1989,9,4.6,12.3,-5.8,0.372725458582285
1989,10,5.2,13.1,-1.6,0.104969322982595
1989,11,14.6,12.9,-1.4,0.0876129027360784
1989,12,17.5,13.3,2.3,-0.791107657005326
1990,1,86.4,11.9,4,-0.533823084235041
1990,2,23.7,12.2,1.7,-0.886652670364039
1990,3,17.4,12.4,0.2,-1.00404898540754
1990,4,16.1,12.2,-1.9,-1.20769746032216
1990,5,6.9,11.6,-7.1,-0.494694234842075
1990,6,24.8,10,-7.5,1.50426480967528
1990,7,0,10.7,-12.4,1.38573507049572
1990,8,8.8,11.2,-9.3,1.43817993416725
1990,9,0.6,12,-8.6,0.372725458582286
1990,10,42,12.4,-1.8,1.40183246994737
1990,11,30.5,12.8,0.9,1.41362963411697
1990,12,52.1,12.4,1.9,1.24450644724403
1991,1,104.8,11.9,2.4,0.297742224049123
1991,2,36.9,12.3,1.6,-0.163302541262587
1991,3,76.5,11.8,1.7,-0.0109855806233536
1991,4,7.8,11.9,-0.8,-0.00852937222303285
1991,5,0,11.6,-5.8,0.612524321643009
1991,6,6.3,10.7,-8.4,0.227068576069614
1991,7,0.2,10.8,-9.9,0.596114034146688
1991,8,0.3,11.5,-7.4,0.404495019917742
1991,9,0.8,11.2,-4.9,-0.282182545854592
1991,10,11,12.1,-2.4,0.0725965761283896
1991,11,12,12.2,-1.3,0.0636071287463274
1991,12,39.4,12.5,-1.4,-0.0201410556594038
1992,1,92.5,11.2,2.2,-0.19642279918916
1992,2,12.5,12,0.8,-0.682220628433217
1992,3,4.1,12.2,-1.9,-1.2629780471432
1992,4,3.5,11.9,-4,-2.5098142295778
1992,5,0,11.6,-6.8,-1.87577110285029
1992,6,0.2,10.6,-10,-0.495148023880314
1992,7,0.8,10.3,-11.2,0.154535592310695
1992,8,8.4,10.6,-10.5,0.55538103006084
1992,9,0.7,11.5,-10.2,0.398335391336485
1992,10,13.5,11.9,-6.3,0.548399259155119
1992,11,24.9,11.8,-5.2,0.589127870448834
1992,12,35.6,12.3,0.9,0.264477458799709
1993,1,137.6,11.4,3.6,0.407265620224126
1993,2,16,11.9,-0.6,-0.207503528921145
1993,3,63.2,11.3,1.6,-0.0239138001186081
1993,4,8.8,11.9,-1.4,-0.553619565384965
1993,5,0.2,11.5,-6.3,0.353867941489893
1993,6,0.2,11.1,-8.9,-0.0687678650651599
1993,7,0,10.9,-9.3,0.0362831322116548
1993,8,25.7,10.7,-7.3,1.21226481143309
1993,9,3.9,11.5,-5,1.09387503895612
1993,10,25.6,12,-1.5,1.49083384131329
1993,11,19.3,12.7,0.6,0.858394505583154
1993,12,68.6,12.5,2.8,1.0555074078608
1994,1,83.3,12.1,2.5,0.123719599143375
1994,2,94.9,11.6,1.7,0.301397027073647
1994,3,26.7,12.1,0.2,-0.13614175164079
1994,4,20.6,11.8,-0.4,0.285457689835625
1994,5,0.4,11.5,-5.4,-0.270356685129168
1994,6,0.2,10.8,-10,0.576611146589784
1994,7,0,11,-11.2,0.0831364442302578
1994,8,0,11.5,-10.3,-0.287511741691431
1994,9,3.5,12,-7.5,-0.0225232949877234
1994,10,0.6,12.2,-7.1,-0.485698334377373
1994,11,8.1,12.7,-3.1,-0.497761572629038
1994,12,43.7,12.4,1.5,-0.295802451823593
1995,1,20.7,12.1,-0.4,-1.30343664836701
1995,2,44.7,12,-2.6,-1.13496255927253
1995,3,33,12.1,-3,-1.42816039669208
1995,4,3.9,12.4,-5.8,-0.674429239642864
1995,5,0,11.3,-5.4,-0.611095211871729
1995,6,0,10.7,-9.1,-0.477116954276796
1995,7,0,11.2,-12.2,-0.21972291581858
1995,8,0,11.3,-9.2,-0.391196258189472
1995,9,0,11.3,-5.4,-0.709102503409024
1995,10,0,11.9,-4.9,-1.027154272915
1995,11,4.5,12.1,-5,-1.06563651576053
1995,12,39.5,12.1,-4.8,-0.556797704801993
1996,1,64.4,11.5,-3.7,-0.681882876925638
1996,2,47.2,11.6,-4.7,-0.605309050115371
1996,3,38.7,11.7,-4.9,-0.717389496829194
1996,4,4.7,11.6,-4.7,-0.506278469362389
1996,5,2.6,11.7,-5.4,-0.320591319696728
1996,6,0,11.3,-8.4,-0.201787323926214
1996,7,0,11.1,-12.4,0.336659267440162
1996,8,0.6,11.2,-10.3,-0.191137229983705
1996,9,0,11.7,-9.4,-0.418538295190626
1996,10,0.9,12.2,-5.5,-0.77512821378156
1996,11,22.5,12.2,-2.4,0.047398868311458
1996,12,49.8,11.7,-4.4,0.245848643822108
1997,1,215.1,11.2,-4.2,1.19804451671202
1997,2,93.9,11.2,-3.7,1.10018628356622
1997,3,14.5,11.7,-4.1,0.835467620028147
1997,4,16,12.1,-5.3,0.0383633102979876
1997,5,0,12.2,-5.3,-0.842018959253198
1997,6,0,12,-5.7,0.32806635217567
1997,7,0,11.7,-5.1,-0.21972291581858
1997,8,16.8,11.5,-6.1,0.892760508847054
1997,9,119.4,11.9,-4.5,2.82895184610427
1997,10,2.1,12.6,-4.9,2.91837444291631
1997,11,26.8,12.7,-3.2,2.6320952733753
1997,12,36.4,13.3,-3,0.054136486890343
1998,1,142.2,12.9,3.2,0.479761763300175
1998,2,102.2,12.6,4.2,0.565309326425661
1998,3,7,13,2,0.280558824991241
1998,4,6.2,13.1,-1.4,-0.0956940300104017
1998,5,0,11.9,-6.3,-1.61494728288058
1998,6,19.2,10.9,-8.3,0.754533385821964
1998,7,0,12.7,-10.5,1.0724065468346
1998,8,0,12,-11.7,0.984454282272357
1998,9,0,11.8,-8.2,-0.709102503409024
1998,10,5.7,12.2,-6.1,-0.346760713352426
1998,11,8.9,12.1,-3.8,-0.362009119961468
1998,12,7.5,12.7,-3.2,-1.46393478203338
1999,1,90.9,12.6,0,-0.698578046810287
1999,2,79.6,11.3,3.2,-0.318264462679928
1999,3,90.4,11.3,2.7,0.359218128488334
1999,4,17,12.1,-3.3,0.82780010237115
1999,5,0,12.2,-4.2,1.04738688324322
1999,6,0,11.7,-5.9,0.378796174027419
1999,7,0,11.9,-10.1,-0.21972291581858
