"anio","mes","pp","tmax","tmin","spi3"
1975,1,56.5,20.4,7.4,NA
1975,2,82.5,17.4,5,NA
1975,3,53.6,17.2,3.6,0.805600250668248
1975,4,0.5,19.2,-1.5,1.31155298154261
1975,5,2.4,14.7,-5.9,1.08481830680066
1975,6,0,12.3,-9.4,0.15309885882477
1975,7,0,12.4,-11.9,0.646656214174093
1975,8,1.2,13,-13.1,0.543850527712791
1975,9,0,14.7,-7.2,0.289959028053724
1975,10,0,17.3,-5.4,0.134872124318044
1975,11,41,19.6,-3.9,1.77800688678762
1975,12,77,21.8,2.3,1.82292560972325
1976,1,47.2,19.6,4,0.977507639806822
1976,2,17,24.1,6.7,0.20348195696349
1976,3,12.6,23.7,4.8,-0.678781994780721
1976,4,0,21.9,-1.2,-0.885775513446839
1976,5,0,17.8,-6.8,-0.329904668303486
1976,6,0,16.1,-11.9,-0.391196258189472
1976,7,0,13.3,-11.1,0.333005098197297
1976,8,17.2,12.5,-6.8,1.46747075415948
1976,9,15.6,14.2,-3.1,2.14000788415332
1976,10,0,18,-6.5,1.90773112809172
1976,11,0,18.7,-3.6,0.800739279909004
1976,12,19.5,21.3,2.4,-0.279650219135953
1977,1,44.7,21.5,3,-0.419775046623285
1977,2,96.9,20.6,6.2,0.438681269205308
1977,3,47.3,20.1,5.2,0.769336690626514
1977,4,1.3,18.4,-1.7,1.43165419904729
1977,5,4.6,15.4,-7.5,1.01106882044842
1977,6,0,11.3,-13.6,0.566214464464173
1977,7,0,10.1,-12.7,0.861714618524067
1977,8,0,12.8,-12,0.391196258189472
1977,9,0.3,16.6,-6.5,0.140082669983309
1977,10,4.2,19,-3,0.466399530227832
1977,11,3.6,21,1.7,0.373374589869659
1977,12,59.8,18.9,2.9,1.00233936158086
1978,1,62.4,13.2,5.9,0.528205706021498
1978,2,38,16.1,5.6,0.428472938370276
1978,3,23,17,5.1,0.0312572569640192
1978,4,7.4,17.3,2.5,0.164136484648226
1978,5,0,17.9,-4.6,0.401455267898623
1978,6,0,11.7,-12.2,0.739503951074581
1978,7,0,11,-14.2,0.333005098197297
1978,8,0,14.1,-9.1,0.391196258189472
1978,9,0,15.8,-9.5,0.054518914848101
1978,10,1.5,20,-1.3,0.171282807125482
1978,11,12.6,20.9,1.6,0.72400389434418
1978,12,93.4,20.5,2.6,1.6723890312847
1979,1,64.1,18.1,3.1,1.02833741705164
1979,2,4,20.2,2.4,0.443206234246993
1979,3,8.5,20.2,2.3,-0.682406362852
1979,4,0,16.9,-4.5,-1.60959486445079
1979,5,0,13.9,-10.8,-0.583521655018113
1979,6,0,12.9,-9.6,-0.391196258189472
1979,7,0,12.4,-8.5,0.333005098197297
1979,8,0,14.7,-9.6,0.391196258189472
1979,9,0,16.4,-4.4,0.054518914848101
1979,10,0,19.7,2,-0.054518914848101
1979,11,0,21.1,2.2,-0.333005098197297
1979,12,15.2,20.6,4.5,-0.463473551177986
1980,1,5.5,20.4,3.6,-1.64401736648442
1980,2,3,20.8,2.6,-2.20728253014976
1980,3,22.1,19.7,1.7,-1.80598191561295
1980,4,0,17.7,-5.4,-1.05360012090389
1980,5,0,14.2,-12,0.107946627090504
1980,6,0,12.6,-13,-0.391196258189472
1980,7,0,11.8,-10,0.333005098197297
1980,8,0,14.3,-10.8,0.391196258189472
1980,9,0,15.3,-6.5,0.054518914848101
1980,10,0,19,-1.2,-0.054518914848101
1980,11,0,20.4,-3,-0.333005098197297
1980,12,0,21.6,-1.3,-1.35973738393861
1981,1,60,21.2,3.6,-0.504424808740079
1981,2,43.5,19.2,2.6,-0.311811478554076
1981,3,23.6,19.4,0.2,0.0791353656461082
1981,4,4.3,15.6,-4.1,0.227237922768251
1981,5,0,13.1,-11.4,0.318949913273724
1981,6,0,9.3,-14.5,0.359382661884423
1981,7,0,9.7,-17.9,0.333005098197297
1981,8,2.1,11.8,-11.4,0.625170184292414
1981,9,2,13.9,-7.4,0.612786891496823
1981,10,0,17.1,-5.4,0.431923386915817
1981,11,0,20.1,-2.1,-0.109340443871943
1981,12,27,20.6,1.4,-0.0054812916650276
1982,1,116.5,17.2,1.9,0.739920171398847
1982,2,29,18.8,0.2,0.56485517863368
1982,3,41.5,17.1,-1.1,0.750535551446245
1982,4,13,15.5,-4.4,0.465846059424099
1982,5,0,10.5,-11.1,1.04044540491952
1982,6,0,8.4,-13.6,1.27395002764065
1982,7,0,10.3,-14,0.333005098197297
1982,8,4,15.2,-7,0.770917784855828
1982,9,9,17.9,-2.8,1.24484871492274
1982,10,0,20.1,1,1.03873064190833
1982,11,0,22.9,3.7,0.431502057066778
1982,12,26,22.5,5.1,-0.0393210090915522
1983,1,9.2,23.1,6,-1.11632687554984
1983,2,11,22.8,5.5,-1.44220568233226
1983,3,13,25.1,5,-1.71683751491004
1983,4,0,22,1.6,-1.09695455926821
1983,5,0,17,-3.1,-0.307978985853292
1983,6,0,14.2,-5.5,-0.391196258189472
1983,7,0,14.9,-6.9,0.333005098197297
1983,8,0,17.6,-6,0.391196258189472
1983,9,23.1,16.1,-2.8,1.74897325978622
1983,10,0,19.6,-2.2,1.52801087031161
1983,11,0.1,20,-2.1,1.145351108604
1983,12,5.3,23.1,3.2,-1.00378867768426
1984,1,231.2,17.6,6.2,1.64156873190363
1984,2,70.4,18.2,6.4,1.75858586333122
1984,3,60.2,19.4,6.4,2.13490625764344
1984,4,0.4,18.2,0,1.23346805293305
1984,5,0,15.5,-4.3,1.17288577851466
