anio,mes,pp,tmax,tmin
1975,01,192.5,,
1975,02,198.3,,
1975,03,58.1,,
1975,04,21.7,,
1975,05,10.5,,
1975,06,16.2,,
1975,07,0.0,,
1975,08,2.1,,
1975,09,25.8,,
1975,10,17.0,,
1975,11,20.9,,
1975,12,90.1,,
1976,01,177.6,,
1976,02,69.7,,
1976,03,0.0,,
1976,04,6.2,,
1976,05,20.5,,
1976,06,40.6,,
1976,07,29.2,,
1976,08,40.8,,
1976,09,61.2,,
1976,10,5.2,,
1976,11,42.5,,
1976,12,61.7,,
1977,01,44.8,,
1977,02,56.0,,
1977,03,53.7,,
1977,04,26.8,,
1977,05,30.1,,
1977,06,2.1,,
1977,07,19.8,,
1977,08,9.6,,
1977,09,50.5,,
1977,10,28.2,,
1977,11,52.4,,
1977,12,124.2,,
1978,01,121.1,,
1978,02,97.5,,
1978,03,72.0,,
1978,04,89.0,,
1978,05,5.2,,
1978,06,16.6,,
1978,07,10.4,,
1978,08,39.0,,
1978,09,59.7,,
1978,10,53.0,,
1978,11,64.0,,
1978,12,113.1,,
1979,01,186.5,,
1979,02,104.6,,
1979,03,135.4,,
1979,04,107.6,,
1979,05,60.0,,
1979,06,28.2,,
1979,07,45.0,,
1979,08,70.5,,
1979,09,51.9,,
1979,10,102.9,,
1979,11,92.7,,
1979,12,184.8,,
1980,01,81.5,,
1980,02,68.8,,
1980,03,107.1,,
1980,04,66.7,,
1980,05,37.2,,
1980,06,24.0,,
1980,07,40.4,,
1980,08,37.4,,
1980,09,54.6,,
1980,10,47.2,,
1980,11,42.7,,
1980,12,63.1,,
1981,01,113.2,,
1981,02,153.9,,
1981,03,76.2,,
1981,04,61.7,,
1981,05,20.2,,
1981,06,3.9,,
1981,07,2.1,,
1981,08,64.2,,
1981,09,39.1,,
1981,10,56.0,,
1981,11,58.2,,
1981,12,85.0,,
1982,01,169.2,,
1982,02,59.2,,
1982,03,141.7,,
1982,04,31.2,,
1982,05,2.3,,
1982,06,7.2,,
1982,07,7.9,,
1982,08,5.1,,
1982,09,27.4,,
1982,10,39.5,,
1982,11,43.7,,
1982,12,31.3,,
1983,01,27.5,,
1983,02,71.6,,
1983,03,20.4,,
1983,04,37.1,,
1983,05,4.9,,
1983,06,10.9,,
1983,07,8.7,,
1983,08,28.5,,
1983,09,20.4,,
1983,10,22.4,,
1983,11,26.3,,
1983,12,64.8,,
1984,01,193.7,,
1984,02,174.4,,
1984,03,125.1,,
1984,04,13.5,,
1984,05,0.8,,
1984,06,14.1,,
1984,07,2.0,,
1984,08,8.2,,
1984,09,2.0,,
1984,10,34.2,,
1984,11,71.7,,
1984,12,46.6,,
1985,01,99.2,,
1985,02,108.8,,
1985,03,49.3,,
1985,04,33.9,,
1985,05,15.6,,
1985,06,21.5,,
1985,07,5.0,,
1985,08,4.6,,
1985,09,47.0,,
1985,10,61.8,,
1985,11,92.6,,
1985,12,125.6,,
1986,01,87.5,,
1986,02,71.9,,
1986,03,99.2,,
1986,04,27.3,,
1986,05,5.8,,
1986,06,0.5,,
1986,07,0.0,,
1986,08,9.3,,
1986,09,20.7,,
1986,10,11.7,,
1986,11,13.8,,
1986,12,139.0,,
1987,01,151.6,,
1987,02,19.4,,
1987,03,47.4,,
1987,04,44.1,,
1987,05,12.0,,
1987,06,31.7,,
1987,07,33.0,,
1987,08,27.1,,
1987,09,42.9,,
1987,10,88.2,,
1987,11,50.7,,
1987,12,51.5,,
1988,01,64.2,,
1988,02,66.1,,
1988,03,127.0,,
1988,04,25.2,,
1988,05,28.0,,
1988,06,16.1,,
1988,07,16.0,,
1988,08,7.4,,
1988,09,24.6,,
1988,10,41.0,,
1988,11,14.3,,
1988,12,23.0,,
1989,01,46.5,,
1989,02,31.1,,
1989,03,19.0,,
1989,04,24.1,,
1989,05,21.7,,
1989,06,17.4,,
1989,07,16.1,,
1989,08,21.7,,
1989,09,19.3,,
1989,10,18.1,,
1989,11,28.9,,
1989,12,35.6,,
1990,01,100.0,,
1990,02,69.6,,
1990,03,36.8,,
1990,04,42.3,,
1990,05,37.7,,
1990,06,69.9,,
1990,07,5.1,,
1990,08,16.7,,
1990,09,20.6,,
1990,10,67.2,,
1990,11,41.3,,
1990,12,61.0,,
1991,01,77.8,,
1991,02,92.6,,
1991,03,70.9,,
1991,04,26.5,,
1991,05,41.3,,
1991,06,26.2,,
1991,07,13.6,,
1991,08,19.7,,
1991,09,21.1,,
1991,10,27.5,,
1991,11,27.9,,
1991,12,34.1,,
1992,01,127.0,,
1992,02,51.6,,
1992,03,39.4,,
1992,04,10.3,,
1992,05,0.0,,
1992,06,5.4,,
1992,07,18.7,,
1992,08,8.5,,
1992,09,5.7,,
1992,10,27.2,,
1992,11,34.4,,
1992,12,47.9,,
1993,01,87.7,,
1993,02,47.3,,
1993,03,88.3,,
1993,04,16.4,,
1993,05,8.0,,
1993,06,7.8,,
1993,07,14.2,,
1993,08,26.6,,
1993,09,27.8,,
1993,10,56.9,,
1993,11,26.2,,
1993,12,73.7,,
1994,01,52.4,,
1994,02,62.2,,
1994,03,36.9,,
1994,04,35.7,,
1994,05,2.9,,
1994,06,5.6,,
1994,07,2.5,,
1994,08,1.4,,
1994,09,9.0,,
1994,10,22.1,,
1994,11,40.4,,
1994,12,113.4,,
1995,01,98.6,,
1995,02,108.3,,
1995,03,46.8,,
1995,04,15.5,,
1995,05,6.4,,
1995,06,10.6,,
1995,07,3.7,,
1995,08,8.9,,
1995,09,19.9,,
1995,10,15.6,,
1995,11,29.5,,
1995,12,111.5,,
1996,01,151.6,,
1996,02,42.2,,
1996,03,22.8,,
1996,04,12.0,,
1996,05,12.9,,
1996,06,6.0,,
1996,07,2.9,,
1996,08,5.0,,
1996,09,18.3,,
1996,10,8.2,,
1996,11,61.4,,
1996,12,102.5,,
1997,01,90.2,,
1997,02,89.2,,
1997,03,72.8,,
1997,04,11.3,,
1997,05,8.8,,
1997,06,2.4,,
1997,07,1.0,,
1997,08,22.0,,
1997,09,70.1,,
1997,10,12.6,,
1997,11,63.5,,
1997,12,23.0,,
1998,01,104.4,,
1998,02,66.4,,
1998,03,27.3,,
1998,04,35.1,,
1998,05,2.6,,
1998,06,36.9,,
1998,07,5.4,,
1998,08,10.9,,
1998,09,16.6,,
1998,10,16.0,,
1998,11,72.8,,
1998,12,20.1,,
1999,01,64.9,,
1999,02,94.9,,
1999,03,143.2,,
1999,04,9.8,,
1999,05,0.2,,
1999,06,2.3,,
1999,07,5.4,,
1999,08,4.2,,
1999,09,37.3,,
1999,10,13.3,,
1999,11,17.3,,
1999,12,47.2,,
2000,01,109.6,,
2000,02,51.1,,
2000,03,32.3,,
2000,04,0.3,,
2000,05,2.1,,
2000,06,13.0,,
2000,07,6.3,,
2000,08,16.3,,
2000,09,3.2,,
2000,10,57.3,,
2000,11,4.2,,
2000,12,88.2,,
2001,01,141.8,,
2001,02,151.3,,
2001,03,113.1,,
2001,04,16.2,,
2001,05,4.7,,
2001,06,21.0,,
2001,07,18.7,,
2001,08,17.6,,
2001,09,3.6,,
2001,10,39.2,,
2001,11,33.6,,
2001,12,99.7,,
2002,01,39.8,,
2002,02,116.8,,
2002,03,73.4,,
2002,04,32.8,,
2002,05,3.7,,
2002,06,5.4,,
2002,07,33.5,,
2002,08,9.5,,
2002,09,6.7,,
2002,10,65.7,,
2002,11,17.4,,
2002,12,62.3,,
2003,01,120.9,,
2003,02,90.0,,
2003,03,57.9,,
2003,04,3.9,,
2003,05,3.7,,
2003,06,0.0,,
2003,07,7.8,,
2003,08,4.6,,
