"anio","mes","pp","tmax","tmin","spi3"
1975,1,192.5,NA,NA,NA
1975,2,198.3,NA,NA,NA
1975,3,58.1,NA,NA,2.02783440951146
1975,4,21.7,NA,NA,1.26439095020637
1975,5,10.5,NA,NA,-0.10267165878896
1975,6,16.2,NA,NA,0.106339945181751
1975,7,0,NA,NA,-0.0374413825379201
1975,8,2.1,NA,NA,-0.447751180704101
1975,9,25.8,NA,NA,-0.52595887845755
1975,10,17,NA,NA,-0.537127638799535
1975,11,20.9,NA,NA,-0.633326614614272
1975,12,90.1,NA,NA,-0.166159898221156
1976,1,177.6,NA,NA,0.991232575450998
1976,2,69.7,NA,NA,0.910233481074202
1976,3,0,NA,NA,-0.00254574485535043
1976,4,6.2,NA,NA,-1.73706109530653
1976,5,20.5,NA,NA,-1.98039753442775
1976,6,40.6,NA,NA,0.544109394271022
1976,7,29.2,NA,NA,1.4174051145349
1976,8,40.8,NA,NA,1.73068692809296
1976,9,61.2,NA,NA,1.88308827661695
1976,10,5.2,NA,NA,0.886416299442851
1976,11,42.5,NA,NA,0.415262171551475
1976,12,61.7,NA,NA,-0.518634979076958
1977,1,44.8,NA,NA,-0.819852454231342
1977,2,56,NA,NA,-1.23527320847717
1977,3,53.7,NA,NA,-1.34240694017283
1977,4,26.8,NA,NA,-0.533287971006839
1977,5,30.1,NA,NA,0.283483549334675
1977,6,2.1,NA,NA,0.363115836090841
1977,7,19.8,NA,NA,0.675903939517622
1977,8,9.6,NA,NA,0.0625445199183851
1977,9,50.5,NA,NA,0.957632851019703
1977,10,28.2,NA,NA,0.528467970284332
1977,11,52.4,NA,NA,0.823942985628512
1977,12,124.2,NA,NA,1.00559000367211
1978,1,121.1,NA,NA,1.0866462905967
1978,2,97.5,NA,NA,0.962925559794815
1978,3,72,NA,NA,0.506340665603681
1978,4,89,NA,NA,1.05894299776717
1978,5,5.2,NA,NA,1.14432335672001
1978,6,16.6,NA,NA,1.3143648650462
1978,7,10.4,NA,NA,0.145653479532783
1978,8,39,NA,NA,0.947590051107088
1978,9,59.7,NA,NA,1.51831685300105
1978,10,53,NA,NA,1.5951483282334
1978,11,64,NA,NA,1.54017350663267
1978,12,113.1,NA,NA,1.3266273936919
1979,1,186.5,NA,NA,1.72706198289637
1979,2,104.6,NA,NA,1.5273801105528
1979,3,135.4,NA,NA,1.83629164007612
1979,4,107.6,NA,NA,1.92590486938112
1979,5,60,NA,NA,2.66974449258019
1979,6,28.2,NA,NA,2.39316772189056
1979,7,45,NA,NA,2.04450831391081
1979,8,70.5,NA,NA,2.19337001532709
1979,9,51.9,NA,NA,2.40709727146153
1979,10,102.9,NA,NA,2.5255561013119
1979,11,92.7,NA,NA,2.44886719064722
1979,12,184.8,NA,NA,2.88018356403912
1980,1,81.5,NA,NA,1.68490384080787
1980,2,68.8,NA,NA,0.887623398976267
1980,3,107.1,NA,NA,0.121153303042345
1980,4,66.7,NA,NA,0.884741357013261
1980,5,37.2,NA,NA,1.70990155257913
1980,6,24,NA,NA,1.5641460856665
1980,7,40.4,NA,NA,1.59744669063703
1980,8,37.4,NA,NA,1.59401222019381
1980,9,54.6,NA,NA,1.90177766012504
1980,10,47.2,NA,NA,1.41092256056636
1980,11,42.7,NA,NA,1.04911732978238
1980,12,63.1,NA,NA,0.256854794433971
1981,1,113.2,NA,NA,0.186548647571762
1981,2,153.9,NA,NA,0.839113794531776
1981,3,76.2,NA,NA,1.06215731140487
1981,4,61.7,NA,NA,1.40251738700041
1981,5,20.2,NA,NA,1.03198559255799
1981,6,3.9,NA,NA,0.901596316157637
1981,7,2.1,NA,NA,-0.0552300323159361
1981,8,64.2,NA,NA,1.03314270183985
1981,9,39.1,NA,NA,1.45291331800668
1981,10,56,NA,NA,1.70258922452188
1981,11,58.2,NA,NA,1.18974619964839
1981,12,85,NA,NA,0.931105689787365
1982,1,169.2,NA,NA,1.23686079127278
1982,2,59.2,NA,NA,0.669125847326521
1982,3,141.7,NA,NA,1.32358840516843
1982,4,31.2,NA,NA,0.765592115708149
1982,5,2.3,NA,NA,1.26509943652043
1982,6,7.2,NA,NA,-0.104003717791245
1982,7,7.9,NA,NA,-0.411249702400599
1982,8,5.1,NA,NA,-0.362670966384588
1982,9,27.4,NA,NA,-0.0670662944286727
1982,10,39.5,NA,NA,0.178297589069295
1982,11,43.7,NA,NA,0.448395494020111
1982,12,31.3,NA,NA,-0.418174313607836
1983,1,27.5,NA,NA,-1.68785939218971
1983,2,71.6,NA,NA,-1.79027891060227
1983,3,20.4,NA,NA,-1.9959771676324
1983,4,37.1,NA,NA,-0.657078952320506
1983,5,4.9,NA,NA,-0.744873476060192
1983,6,10.9,NA,NA,0.219378612096229
1983,7,8.7,NA,NA,-0.117366272182815
1983,8,28.5,NA,NA,0.538944358107448
1983,9,20.4,NA,NA,0.434308276481627
1983,10,22.4,NA,NA,0.162180410347577
1983,11,26.3,NA,NA,-0.485593309035982
1983,12,64.8,NA,NA,-0.43762844206428
1984,1,193.7,NA,NA,0.950810665706053
1984,2,174.4,NA,NA,1.77230361724099
1984,3,125.1,NA,NA,2.38947436412471
1984,4,13.5,NA,NA,1.6083028414198
1984,5,0.8,NA,NA,0.757631443568873
1984,6,14.1,NA,NA,-0.501599919404853
1984,7,2,NA,NA,-0.434575300569736
1984,8,8.2,NA,NA,-0.194470981024365
1984,9,2,NA,NA,-1.3312055762431
1984,10,34.2,NA,NA,-0.55255653222223
1984,11,71.7,NA,NA,0.395612222938894
1984,12,46.6,NA,NA,0.248865508919388
1985,1,99.2,NA,NA,0.167454921202919
1985,2,108.8,NA,NA,0.0218547658645481
1985,3,49.3,NA,NA,0.119944580867817
1985,4,33.9,NA,NA,0.274890354985145
1985,5,15.6,NA,NA,0.065452540385402
1985,6,21.5,NA,NA,0.620195069194353
1985,7,5,NA,NA,0.430637194338055
1985,8,4.6,NA,NA,0.049294787252095
1985,9,47,NA,NA,0.408020103887159
1985,10,61.8,NA,NA,0.995048621250409
1985,11,92.6,NA,NA,1.87946234285384
1985,12,125.6,NA,NA,1.89898495810078
1986,1,87.5,NA,NA,1.16897602397903
1986,2,71.9,NA,NA,0.36758319094542
1986,3,99.2,NA,NA,0.135633617721453
1986,4,27.3,NA,NA,0.357471672786819
1986,5,5.8,NA,NA,0.647207437158006
1986,6,0.5,NA,NA,-0.322168972397851
1986,7,0,NA,NA,-1.07782341543998
1986,8,9.3,NA,NA,-0.911476938180636
1986,9,20.7,NA,NA,-0.440886000956355
1986,10,11.7,NA,NA,-0.637693260602492
1986,11,13.8,NA,NA,-1.18203930601611
1986,12,139,NA,NA,0.436017750259304
1987,1,151.6,NA,NA,1.15569317767449
1987,2,19.4,NA,NA,0.634000320190107
1987,3,47.4,NA,NA,-0.376344699323196
1987,4,44.1,NA,NA,-0.983848032420969
1987,5,12,NA,NA,0.154274222392987
1987,6,31.7,NA,NA,0.937198483928299
1987,7,33,NA,NA,1.18149284957173
1987,8,27.1,NA,NA,1.42972662405918
1987,9,42.9,NA,NA,1.40972635256948
1987,10,88.2,NA,NA,1.68723774182709
1987,11,50.7,NA,NA,1.61257069263309
1987,12,51.5,NA,NA,0.811258830067893
1988,1,64.2,NA,NA,-0.543881724889822
1988,2,66.1,NA,NA,-0.937616561383063
1988,3,127,NA,NA,0.119944580867817
1988,4,25.2,NA,NA,0.603512138435813
1988,5,28,NA,NA,1.33049104255379
1988,6,16.1,NA,NA,0.585558968909385
1988,7,16,NA,NA,0.855566020057419
1988,8,7.4,NA,NA,0.307915350919803
1988,9,24.6,NA,NA,0.168603935809023
1988,10,41,NA,NA,0.201150861364555
1988,11,14.3,NA,NA,-0.212340476905344
1988,12,23,NA,NA,-1.21403270935959
1989,1,46.5,NA,NA,-2.11710456307792
1989,2,31.1,NA,NA,-2.40028766359163
1989,3,19,NA,NA,-2.50148896704994
1989,4,24.1,NA,NA,-1.77948623968534
1989,5,21.7,NA,NA,-0.682624147041453
1989,6,17.4,NA,NA,0.456608362979433
1989,7,16.1,NA,NA,0.748834969481025
1989,8,21.7,NA,NA,0.710812870230375
1989,9,19.3,NA,NA,0.421200944536443
1989,10,18.1,NA,NA,-0.136406465765971
1989,11,28.9,NA,NA,-0.561161725275979
1989,12,35.6,NA,NA,-1.10758420139329
1990,1,100,NA,NA,-0.573027594825512
1990,2,69.6,NA,NA,-0.604561987016599
1990,3,36.8,NA,NA,-0.541389146060003
1990,4,42.3,NA,NA,-0.33884269711159
1990,5,37.7,NA,NA,0.391879961458605
1990,6,69.9,NA,NA,1.85698414006515
1990,7,5.1,NA,NA,1.76289036487974
1990,8,16.7,NA,NA,1.42803021897167
1990,9,20.6,NA,NA,-0.00247190718288965
1990,10,67.2,NA,NA,0.837869059279714
1990,11,41.3,NA,NA,0.789072651644077
1990,12,61,NA,NA,0.51133453688911
1991,1,77.8,NA,NA,-0.340144861484515
1991,2,92.6,NA,NA,-0.261046035125275
1991,3,70.9,NA,NA,-0.0776369251798346
1991,4,26.5,NA,NA,0.248709794734835
1991,5,41.3,NA,NA,0.746909876273532
1991,6,26.2,NA,NA,1.04442590496586
1991,7,13.6,NA,NA,1.26042907249944
1991,8,19.7,NA,NA,0.808263955169894
1991,9,21.1,NA,NA,0.349123072342474
1991,10,27.5,NA,NA,0.0919482850866356
1991,11,27.9,NA,NA,-0.295492950747956
1991,12,34.1,NA,NA,-0.944590509471768
1992,1,127,NA,NA,-0.21335759342321
1992,2,51.6,NA,NA,-0.503329227075704
1992,3,39.4,NA,NA,-0.38174594165323
1992,4,10.3,NA,NA,-1.17144479126631
1992,5,0,NA,NA,-1.10566751895011
