anio,mes,pp,tmax,tmin
1975,01,148.4,16.0,3.9
1975,02,140.8,15.6,4.7
1975,03,34.4,17.3,3.2
1975,04,12.1,18.6,-1.9
1975,05,15.9,16.1,-4.6
1975,06,11.6,15.0,-6.4
1975,07,0.0,15.0,-11.2
1975,08,1.4,17.4,-8.7
1975,09,9.5,18.2,-4.2
1975,10,26.5,18.4,-2.5
1975,11,17.5,20.4,-1.6
1975,12,85.6,17.6,3.1
1976,01,97.5,15.3,3.6
1976,02,58.7,17.5,3.4
1976,03,39.6,18.1,2.7
1976,04,14.8,17.9,-3.4
1976,05,0.8,16.2,-7.4
1976,06,0.0,15.3,-9.5
1976,07,9.3,15.4,-8.2
1976,08,37.3,15.3,-8.0
1976,09,26.2,16.0,-1.4
1976,10,3.1,20.1,-5.5
1976,11,5.6,20.3,-3.5
1976,12,24.7,20.5,1.9
1977,01,66.7,19.8,2.8
1977,02,118.6,17.6,3.7
1977,03,37.4,17.3,3.9
1977,04,0.0,18.7,-3.8
1977,05,4.7,16.0,-7.2
1977,06,0.0,15.1,-11.7
1977,07,0.0,16.3,-9.8
1977,08,0.0,17.6,-10.6
1977,09,4.7,18.9,-4.6
1977,10,8.1,20.0,-1.1
1977,11,58.3,19.3,2.3
1977,12,62.0,19.1,2.1
1978,01,98.6,16.6,4.6
1978,02,70.5,17.2,3.2
1978,03,24.3,17.4,1.1
1978,04,11.8,18.1,-1.1
1978,05,0.0,17.4,-7.1
1978,06,0.0,15.8,-8.8
1978,07,1.2,15.6,-13.2
1978,08,4.0,16.7,-5.6
1978,09,0.1,18.2,-6.8
1978,10,6.0,19.6,-2.0
1978,11,39.9,20.0,2.2
1978,12,190.0,18.5,3.7
1979,01,156.6,15.8,4.5
1979,02,59.4,19.1,2.3
1979,03,96.7,17.6,4.1
1979,04,2.4,18.4,-2.4
1979,05,0.8,17.9,-8.1
1979,06,0.1,16.9,-7.7
1979,07,1.2,15.8,-9.2
1979,08,0.0,18.1,-9.2
1979,09,0.0,20.0,-6.4
1979,10,17.1,20.0,-0.8
1979,11,2.0,22.1,0.4
1979,12,82.9,19.2,2.4
