"Date","4012","4019","4028","4101","4102","4103","4104","4106","4306","4308","4311","14301","14001","14080","14302","14303","14105","14090","14026","14005","14091","14010","14304","14305","14082","14307","14083","14309","14038","14310","14023","15000","15001","15002","15003","15004","15005","15006","15300","15301","15302","15303","15304"
"1980-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1980-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1980-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1980-04-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1980-05-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1980-06-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1980-07-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1980-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1980-09-01",-7.465541e-01,-1.137862e+00,-1.346822e+00,-8.616667e-01, 8.191428e-01,-2.535498e-01,-2.208077e+00, 1.678643e+00,-1.716264e+00,-8.540382e-01,-1.841406e+00,-7.242397e-01,-2.866482e+00,-6.536355e-01,-5.684652e-01,-8.226510e-01,-2.791787e-01,-1.986392e+00,-3.154971e-01,-1.228970e+00,-7.059896e-01,-7.010662e-01,-6.990523e-01,-9.267978e-01,-1.911525e+00,-3.644551e-01,-1.495401e-01,-7.618947e-01,-1.875797e+00,-8.212015e-01,-2.656411e+00,-2.161740e+00,-2.150556e+00,-2.049010e+00,-1.450666e+00,-1.526585e+00,-1.753605e+00,-4.463709e-01,-1.315646e+00,-1.193355e+00,-2.058760e+00,-2.143107e+00,-1.187072e+00
"1980-10-01", 1.576943e-01, 2.439982e-01,-2.688599e-01, 2.236714e-01, 1.295306e+00, 1.759627e-01,-1.543572e+00, 1.876994e+00,-1.162778e+00,-4.010566e-01,-1.321582e+00,-1.895816e-01,-1.582436e+00, 3.381698e-01,-1.962185e-01,-6.963052e-02, 3.959556e-01,-9.800354e-01, 8.627070e-01,-4.205836e-01, 1.791380e-01, 2.770214e-01,-9.059058e-03, 1.027632e-01,-7.227734e-01, 6.450053e-01, 9.267799e-01, 1.273998e-02,-5.410008e-01,-1.552853e-01,-1.354025e+00,-9.199847e-01,-9.368143e-01,-8.049652e-01,-6.024010e-01,-5.297183e-01,-6.854688e-01, 6.965727e-01,-4.124202e-01,-5.504922e-01,-1.294578e+00,-7.550102e-01,-8.665655e-01
