40.8 111.6 99 25.3 3.8 0 13.3 20.1 10.7 16.9 35.7 38.6
70.8 61.6 35.6 5.7 7.1 0 12.9 6.6 4.7 26.8 9.1 59.8
56.6 21.7 29.6 8.1 0 0.8 11.5 30.1 1 3.9 18.8 52
130.4 131.8 47.6 34.5 0 0 0 0 51.9 29.3 53.6 57.5
193.5 43.7 60.9 32.7 0.4 0 0 2.7 22.4 32.6 35.9 20.9
81.1 64 74.5 35.1 10.4 0 13.6 2.4 16.3 16.8 60.3 46.8
117.2 27.9 49.2 12.6 0 0 0 6.8 1.6 22.9 19.2 88.8
69 112.8 72.3 18.7 1.4 0 9 0 49.5 7.6 47.1 184.1
142.1 101.6 45.3 30.7 15.6 0 3.1 11.8 25.2 30.4 2.6 73.2
25.3 168.5 74.8 23 5.2 0 4.2 3.2 9.2 2.8 11.3 154.7
152.1 126.2 126.8 20 0 0 5.8 0 1.6 11.8 16.2 101.6
108.6 113.3 22 2.2 8.7 55.1 3.8 38.5 5.8 37 30.2 187.5
233.1 66.8 24.6 12.4 9.8 0 1 29 80.8 55 12.7 71.7
131.2 83.8 37.4 65.5 3.8 0 8.2 35.8 26.5 57.1 40.4 29.4
54.2 75.7 8.2 19.8 0 2.2 2.3 0.4 0.7 39.8 16.8 44.8
125.4 54.9 59.8 33.4 38.9 0 2 0 18.3 14.2 31.4 54.8
65.7 102.5 51.9 0.4 9.8 44.3 25.8 6.9 3.2 10.7 25 171
60.9 92 36.3 NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA 0 10.2 1.9 0 109.1
167.7 84.6 7.3 0 5 0 2 12 22 0 0 0
33 74 135 0 NA 0 0 0 0 2 0 12
13.6 13 1.1 0 0 0 0 0.2 0 0.4 15.7 6.2
259 6 67 0 0 0 0 0 0 0 0 39
1.2 1 1 0 0 0 0 0 0.2 0.2 0.2 0
26.2 68.3 1.4 0 0 0 0 1.2 3 0 9 125.5
146.9 7 0 0 0 0 0 0 13.3 17.2 1.3 13
4.9 8 14 0 0 0 0 0 30 0 0 2
35 40.5 9.4 8.1 0 0 0 0.8 0 75.5 40.4 4.5
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA 22.2 0 0 NA 0 NA NA 52.9 NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA 38.2 12.1 NA NA 0 0 0 30.3 48.8 74.6
127.4 78.6 38.2 13.8 0 0 0 0 0 20.6 3.3 5.5
181.4 24.1 3 0.7 0 4.7 0.8 0.6 0 35.3 37.6 62
100.1 19.6 107.7 1.4 0.4 0 0 26.1 2.4 28.7 61.6 41.5
71.7 128.6 3.6 5 2.8 0 0.3 0 0.2 0 11.4 144.2
97.5 49.3 44.2 0 0 0 0 0 0 2.3 17.6 52.5
121 38.7 43.6 16 6.2 0 0 24.1 0 NA 27.5 NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
89 55 0 0 0 0 10 2.2 NA NA 0 0
0 0 0 0 0 0 0 0 0 0 0 0
0 121.9 16.6 18.8 0 0 0 0 0 0 0 16.8
126.5 67.4 71.8 2.2 0 0 0 0 0 10.1 12.9 28.8
126.8 40.7 66.3 18.5 0 0 0 0 8.9 7.7 37.5 40.8
147.4 5.4 27.2 0 0 0 0 4.7 0 8.3 3 85
26.1 106.1 79 17.5 0 0 0 0 0.4 0 23.4 124.5
144.7 102 12.9 15.3 3.3 0 0 0 14.4 9.1 0 13.4
53.5 254.1 80.3 11.1 14 0 14.4 0 12.5 0 15.7 117.9
146.4 132.3 29.9 21.7 0 0 0 NA 0.8 NA NA NA
97.1 97.5 34.6 2.2 4.5 36 28.7 39.4 NA NA NA NA
110.2 46.2 5.5 0 0 12.5 23 23 5.6 23 3.4 0.8
5.8 83.8 57.4 43.6 0 0 0.6 1 0 15.8 21.5 0.5
40.3 104 0.6 29.6 0 0 0 0 0 10.3 4 14.6
113.3 106.4 85.2 16 2.2 0 0 0 6.3 13.3 11.6 43
121.1 221.1 26.5 0 NA NA NA NA NA NA NA NA
141.5 235 35.7 25.5 0 NA 4 0 26.1 3.9 12.8 68.6
23.7 53.1 77.8 0.5 0 0 0 0 0 29.8 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
