"Code","Date","Observed","Suggested","Anomaly (std.devs.)"
"4005","1997-09-16",90.7,0,24.54
"4005","2008-12-21",74.1,0.6,22.31
"4005","2009-02-13",64.8,0,20.11
"4005","2009-02-18",83.3,0.1,22.52
"4005","2009-02-19",131.6,2.4,34.97
"4028","1997-09-16",0,37.2,-12.67
"4028","2009-02-19",5.7,43.4,-12.86
"4103","2001-02-19",3.2,28.5,-10.71
"4103","2009-02-19",0,26.2,-11.1
